"sample","total_sequences","percent_gc","avg_sequence_length","median_sequence_length","percent_duplicates","percent_fails","clean_sample"
"NGS001-23_16S_41_S6_L001_R1_001",109642,57,301,301,90.53,33.33,"NGS001-23_16S_41_S6_L001"
"NGS001-23_16S_41_S6_L001_R2_001",109642,56,301,301,87.97,41.67,"NGS001-23_16S_41_S6_L001"
"NGS001-23_16S_42_S12_L001_R1_001",110784,58,301,301,90.49,33.33,"NGS001-23_16S_42_S12_L001"
"NGS001-23_16S_42_S12_L001_R2_001",110784,57,301,301,87.97,41.67,"NGS001-23_16S_42_S12_L001"
"NGS001-23_16S_43_S18_L001_R1_001",96595,57,301,301,90.72,25,"NGS001-23_16S_43_S18_L001"
"NGS001-23_16S_43_S18_L001_R2_001",96595,57,301,301,87.71,41.67,"NGS001-23_16S_43_S18_L001"
"NGS001-23_16S_44_S24_L001_R1_001",106599,58,301,301,90.13,25,"NGS001-23_16S_44_S24_L001"
"NGS001-23_16S_44_S24_L001_R2_001",106599,57,301,301,87.2,41.67,"NGS001-23_16S_44_S24_L001"
"NGS001-23_16S_45_S30_L001_R1_001",110662,58,301,301,89.99,33.33,"NGS001-23_16S_45_S30_L001"
"NGS001-23_16S_45_S30_L001_R2_001",110662,57,301,301,87.47,33.33,"NGS001-23_16S_45_S30_L001"
"NGS001-23_16S_46_S36_L001_R1_001",97708,58,301,301,89.88,41.67,"NGS001-23_16S_46_S36_L001"
"NGS001-23_16S_46_S36_L001_R2_001",97708,57,301,301,87.91,41.67,"NGS001-23_16S_46_S36_L001"
"NGS001-23_16S_47_S42_L001_R1_001",107948,58,301,301,90.44,33.33,"NGS001-23_16S_47_S42_L001"
"NGS001-23_16S_47_S42_L001_R2_001",107948,57,301,301,87.91,50,"NGS001-23_16S_47_S42_L001"
"NGS001-23_16S_48_S48_L001_R1_001",107254,57,301,301,90.83,25,"NGS001-23_16S_48_S48_L001"
"NGS001-23_16S_48_S48_L001_R2_001",107254,56,301,301,87.67,50,"NGS001-23_16S_48_S48_L001"
"NGS069-23_16S_29_S42_L001_R1_001",40406,58,301,301,86.16,33.33,"NGS069-23_16S_29_S42_L001"
"NGS069-23_16S_29_S42_L001_R2_001",40406,58,301,301,78.94,41.67,"NGS069-23_16S_29_S42_L001"
"NGS069-23_16S_30_S50_L001_R1_001",50045,58,301,301,85.89,33.33,"NGS069-23_16S_30_S50_L001"
"NGS069-23_16S_30_S50_L001_R2_001",50045,57,301,301,84.09,50,"NGS069-23_16S_30_S50_L001"
"NGS069-23_16S_31_S59_L001_R1_001",66578,58,301,301,87.35,33.33,"NGS069-23_16S_31_S59_L001"
"NGS069-23_16S_31_S59_L001_R2_001",66578,57,301,301,85.48,50,"NGS069-23_16S_31_S59_L001"
"NGS069-23_16S_32_S68_L001_R1_001",81306,58,301,301,87.33,25,"NGS069-23_16S_32_S68_L001"
"NGS069-23_16S_32_S68_L001_R2_001",81306,57,301,301,85.29,50,"NGS069-23_16S_32_S68_L001"
"NGS069-23_16S_33_S5_L001_R1_001",71709,57,301,301,88.9,33.33,"NGS069-23_16S_33_S5_L001"
"NGS069-23_16S_33_S5_L001_R2_001",71709,56,301,301,88.06,50,"NGS069-23_16S_33_S5_L001"
"NGS069-23_16S_34_S14_L001_R1_001",75235,56,301,301,89.85,41.67,"NGS069-23_16S_34_S14_L001"
"NGS069-23_16S_34_S14_L001_R2_001",75235,55,301,301,88.81,41.67,"NGS069-23_16S_34_S14_L001"
"NGS069-23_16S_35_S23_L001_R1_001",77484,58,301,301,90.83,33.33,"NGS069-23_16S_35_S23_L001"
"NGS069-23_16S_35_S23_L001_R2_001",77484,57,301,301,89.3,50,"NGS069-23_16S_35_S23_L001"
"NGS069-23_16S_36_S32_L001_R1_001",94384,57,301,301,91.14,25,"NGS069-23_16S_36_S32_L001"
"NGS069-23_16S_36_S32_L001_R2_001",94384,56,301,301,89.75,50,"NGS069-23_16S_36_S32_L001"
