"feature"	"method"	"group1"	"group2"	"p_values"	"adj_method"	"p_adjust"	"description"
"1CMET2-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.348891913088257"	"BH"	0.785636032392142	"N10-formyl-tetrahydrofolate biosynthesis"
"3-HYDROXYPHENYLACETATE-DEGRADATION-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.184954393071035"	"BH"	0.618524367362794	"4-hydroxyphenylacetate degradation"
"AEROBACTINSYN-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.0798417736675827"	"BH"	0.414380701813939	"aerobactin biosynthesis"
"ALL-CHORISMATE-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.2883630304638"	"BH"	0.7369277445186	"superpathway of chorismate metabolism"
"ANAEROFRUCAT-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.829965547866821"	"BH"	0.979302035874782	"homolactic fermentation"
"ANAGLYCOLYSIS-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.77795734962342"	"BH"	0.971625255956201	"glycolysis III (from glucose)"
"ARG+POLYAMINE-SYN"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.665302923918982"	"BH"	0.95068937549085	"superpathway of arginine and polyamine biosynthesis"
"ARGDEG-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.526876692367275"	"BH"	0.893585584510458	"superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation"
"ARGORNPROST-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.358484844528836"	"BH"	0.793338337571411	"arginine, ornithine and proline interconversion"
"ARGSYN-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.900673737102654"	"BH"	0.989408256828831	"L-arginine biosynthesis I (via L-ornithine)"
"ARGSYNBSUB-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.909610474126742"	"BH"	0.99168560708406	"L-arginine biosynthesis II (acetyl cycle)"
"ARO-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.786779414442788"	"BH"	0.974921803206048	"chorismate biosynthesis I"
"ASPASN-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.201112547716665"	"BH"	0.643430934264036	"superpathway of L-aspartate and L-asparagine biosynthesis"
"AST-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.639252754062031"	"BH"	0.940953735569297	"L-arginine degradation II (AST pathway)"
"BENZCOA-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0"	"BH"	0	"anaerobic aromatic compound degradation (Thauera aromatica)"
"BIOTIN-BIOSYNTHESIS-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.345438403489289"	"BH"	0.783632177342986	"biotin biosynthesis I"
"BRANCHED-CHAIN-AA-SYN-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.783930476355004"	"BH"	0.974371702997347	"superpathway of branched amino acid biosynthesis"
"CALVIN-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.798852554558132"	"BH"	0.976408445856527	"Calvin-Benson-Bassham cycle"
"CATECHOL-ORTHO-CLEAVAGE-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.643820880462927"	"BH"	0.942019167730912	"catechol degradation to &beta;-ketoadipate"
"CENTBENZCOA-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.000509948349944445"	"BH"	0.010852959200928	"benzoyl-CoA degradation II (anaerobic)"
"CENTFERM-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.0078929803244121"	"BH"	0.098374232682905	"pyruvate fermentation to butanoate"
"CHLOROPHYLL-SYN"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.0105394045370171"	"BH"	0.119113442655426	"chlorophyllide a biosynthesis I (aerobic, light-dependent)"
"COA-PWY"	"metagenomeSeq"	"Equine"	"Equine+c"	"0.756923755577524"	"BH"	0.970908903824047	"coenzyme A biosynthesis I"
