"feature"	"method"	"group1"	"group2"	"group3"	"group4"	"group5"	"group6"	"p_values"	"adj_method"	"p_adjust"	"description"
"1CMET2-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.361270210953421	"BH"	0.413827214119646	"N10-formyl-tetrahydrofolate biosynthesis"
"3-HYDROXYPHENYLACETATE-DEGRADATION-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.1668147271121	"BH"	0.268007484367602	"4-hydroxyphenylacetate degradation"
"AEROBACTINSYN-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.283717388641382	"BH"	0.349270511074693	"aerobactin biosynthesis"
"ALL-CHORISMATE-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.127004007852884	"BH"	0.22561281069801	"superpathway of chorismate metabolism"
"ANAEROFRUCAT-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.212759204861067	"BH"	0.293339713266568	"homolactic fermentation"
"ANAGLYCOLYSIS-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.266151882662697	"BH"	0.332785043558222	"glycolysis III (from glucose)"
"ARG+POLYAMINE-SYN"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.0775088648791219	"BH"	0.1732286063059	"superpathway of arginine and polyamine biosynthesis"
"ARGDEG-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.645639482998763	"BH"	0.659216014183316	"superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation"
"ARGORNPROST-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.596699264049895	"BH"	0.612106991525362	"arginine, ornithine and proline interconversion"
"ARGSYN-PWY"	"ALDEx2_Kruskal-Wallace test"	"Equine"	"Equine+c"	"Livestock_exc+c"	"livestock_exclusion"	"Ovine"	"ovine+c"	0.146327420709806	"BH"	0.24656912046785	"L-arginine biosynthesis I (via L-ornithine)"
