Group 1,Group 2,H,p-value,q-value
Equine (n=4),Equine_c (n=3),1.125,0.2888443663464818,0.36105545793310223
Equine (n=4),Livestock_exc (n=4),0.08333333333333215,0.7728299926844492,0.7728299926844492
Equine (n=4),Livestock_exc_c (n=3),1.9999999999999964,0.15729920705028153,0.26216534508380257
Equine (n=4),Ovine (n=4),0.08333333333333215,0.7728299926844492,0.7728299926844492
Equine (n=4),Ovine_c (n=3),3.1249999999999964,0.07709987174354112,0.1445622595191396
Equine_c (n=3),Livestock_exc (n=4),4.5,0.033894853524689295,0.10168456057406788
Equine_c (n=3),Livestock_exc_c (n=3),3.857142857142854,0.049534613435626915,0.10614560021920053
Equine_c (n=3),Ovine (n=4),4.5,0.033894853524689295,0.10168456057406788
Equine_c (n=3),Ovine_c (n=3),1.1904761904761898,0.27523352407483126,0.36105545793310223
Livestock_exc (n=4),Livestock_exc_c (n=3),4.5,0.033894853524689295,0.10168456057406788
Livestock_exc (n=4),Ovine (n=4),0.08333333333333215,0.7728299926844492,0.7728299926844492
Livestock_exc (n=4),Ovine_c (n=3),4.5,0.033894853524689295,0.10168456057406788
Livestock_exc_c (n=3),Ovine (n=4),1.125,0.2888443663464818,0.36105545793310223
Livestock_exc_c (n=3),Ovine_c (n=3),3.857142857142854,0.049534613435626915,0.10614560021920053
Ovine (n=4),Ovine_c (n=3),4.5,0.033894853524689295,0.10168456057406788
