Group 1,Group 2,H,p-value,q-value
Equine (n=4),Equine+c (n=3),1.9999999999999964,0.15729920705028153,0.7046285770634672
Equine (n=4),Livestock_exc+c (n=3),4.5,0.033894853524689295,0.5084228028703395
Equine (n=4),Ovine (n=4),0.75,0.3864762307712325,0.7046285770634672
Equine (n=4),livestock_exclusion (n=4),0.33333333333333215,0.5637028616507738,0.7046285770634672
Equine (n=4),ovine+c (n=3),1.9999999999999964,0.15729920705028153,0.7046285770634672
Equine+c (n=3),Livestock_exc+c (n=3),1.1904761904761898,0.27523352407483126,0.7046285770634672
Equine+c (n=3),Ovine (n=4),0.0,1.0,1.0
Equine+c (n=3),livestock_exclusion (n=4),0.125,0.7236736098317629,0.8350080113443418
Equine+c (n=3),ovine+c (n=3),0.42857142857142705,0.5126907602619241,0.7046285770634672
Livestock_exc+c (n=3),Ovine (n=4),0.49999999999999645,0.47950012218695504,0.7046285770634672
Livestock_exc+c (n=3),livestock_exclusion (n=4),1.125,0.2888443663464818,0.7046285770634672
Livestock_exc+c (n=3),ovine+c (n=3),0.04761904761904745,0.8272593465627116,0.8863492998886195
Ovine (n=4),livestock_exclusion (n=4),0.33333333333333215,0.5637028616507738,0.7046285770634672
Ovine (n=4),ovine+c (n=3),0.49999999999999645,0.47950012218695504,0.7046285770634672
livestock_exclusion (n=4),ovine+c (n=3),0.49999999999999645,0.47950012218695504,0.7046285770634672
