OTUID	NGS001-23_16S_41	NGS001-23_16S_42	NGS001-23_16S_43	NGS001-23_16S_44	NGS001-23_16S_47	NGS001-23_16S_48	NGS069-23_16S_29	NGS069-23_16S_30	NGS069-23_16S_31	NGS069-23_16S_32	NGS069-23_16S_35	NGS069-23_16S_36	NGS069-24-16S-1	NGS069-24-16S-2	NGS069-24-16S-3	NGS069-24-16S-4	NGS069-24-16S-5	NGS069-24-16S-6	NGS069-24-16S-7	NGS069-24-16S-8	NGS069-24-16S-9
d__Bacteria;p__Actinobacteriota;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteriaceae	2415.0	1399.0	1521.0	505.0	3885.0	1430.0	571.0	812.0	952.0	1923.0	3045.0	2073.0	3052.0	2041.0	1632.0	1848.0	1754.0	2723.0	2843.0	5532.0	5973.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae	2896.0	1157.0	1690.0	639.0	1442.0	1793.0	536.0	609.0	1629.0	1712.0	2000.0	2314.0	3146.0	2262.0	1742.0	1721.0	1507.0	2307.0	1814.0	3203.0	3403.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae	3329.0	3070.0	3955.0	3935.0	2185.0	4546.0	1247.0	1551.0	2966.0	2606.0	1214.0	2857.0	3446.0	2490.0	1845.0	2919.0	2296.0	4688.0	696.0	1329.0	1512.0
d__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Thermomicrobiales;f__JG30-KF-CM45	1308.0	1457.0	1098.0	1327.0	2807.0	1412.0	123.0	1129.0	1610.0	1982.0	2385.0	3242.0	1738.0	1506.0	1302.0	1638.0	1410.0	1999.0	1622.0	3242.0	2963.0
d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Actinomarinales;f__uncultured	1302.0	1893.0	1231.0	2241.0	952.0	975.0	186.0	610.0	854.0	697.0	195.0	393.0	720.0	496.0	352.0	427.0	306.0	626.0	126.0	193.0	249.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae	2069.0	1230.0	1784.0	1017.0	1741.0	2347.0	374.0	777.0	1468.0	1511.0	1429.0	3307.0	2622.0	1928.0	1446.0	1243.0	804.0	1789.0	858.0	1964.0	1801.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Mycobacteriaceae	472.0	395.0	449.0	137.0	666.0	586.0	135.0	450.0	430.0	395.0	428.0	604.0	873.0	612.0	595.0	471.0	343.0	574.0	483.0	814.0	759.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae	270.0	191.0	684.0	1174.0	420.0	513.0	257.0	87.0	347.0	361.0	969.0	1296.0	289.0	227.0	194.0	262.0	240.0	364.0	219.0	434.0	426.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae	1621.0	916.0	966.0	357.0	1359.0	1141.0	231.0	227.0	526.0	927.0	1153.0	2134.0	4012.0	2735.0	2032.0	2222.0	1600.0	3009.0	1948.0	4481.0	4244.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Tistrellales;f__Geminicoccaceae	588.0	832.0	1160.0	449.0	573.0	944.0	139.0	600.0	1135.0	955.0	515.0	559.0	574.0	484.0	457.0	611.0	641.0	912.0	234.0	420.0	399.0
d__Bacteria;p__Chloroflexi;c__JG30-KF-CM66;o__JG30-KF-CM66;f__JG30-KF-CM66	279.0	1406.0	399.0	165.0	429.0	605.0	25.0	452.0	512.0	485.0	142.0	144.0	320.0	272.0	198.0	169.0	168.0	230.0	68.0	142.0	159.0
d__Bacteria;p__Chloroflexi;c__KD4-96;o__KD4-96;f__KD4-96	804.0	714.0	651.0	633.0	733.0	912.0	154.0	284.0	976.0	878.0	1090.0	979.0	730.0	545.0	450.0	561.0	435.0	704.0	417.0	790.0	855.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae	531.0	943.0	433.0	221.0	1075.0	480.0	162.0	423.0	600.0	556.0	550.0	556.0	590.0	472.0	426.0	432.0	304.0	607.0	384.0	805.0	710.0
d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__Vicinamibacteraceae	2750.0	3066.0	1285.0	1392.0	2793.0	2088.0	273.0	996.0	741.0	1366.0	1096.0	916.0	2979.0	2409.0	1702.0	824.0	684.0	1092.0	1010.0	2444.0	2341.0
d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae	501.0	778.0	794.0	687.0	746.0	689.0	168.0	481.0	711.0	674.0	898.0	548.0	455.0	423.0	288.0	370.0	383.0	590.0	242.0	476.0	473.0
d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae	991.0	643.0	624.0	302.0	853.0	944.0	76.0	349.0	415.0	770.0	490.0	837.0	1206.0	684.0	516.0	424.0	259.0	387.0	469.0	1121.0	1128.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales;f__Nocardioidaceae	1097.0	1411.0	1090.0	1370.0	1414.0	1318.0	433.0	552.0	1237.0	943.0	2309.0	2295.0	1324.0	1097.0	981.0	900.0	796.0	1258.0	701.0	1168.0	1165.0
d__Bacteria;__;__;__;__	410.0	579.0	405.0	355.0	462.0	270.0	42.0	277.0	263.0	295.0	276.0	103.0	548.0	376.0	311.0	341.0	231.0	490.0	265.0	519.0	475.0
d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae	823.0	929.0	813.0	741.0	1182.0	771.0	22.0	534.0	305.0	734.0	843.0	358.0	950.0	809.0	584.0	535.0	418.0	710.0	560.0	1282.0	1290.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae	908.0	1128.0	530.0	571.0	1091.0	771.0	1.0	548.0	382.0	490.0	598.0	522.0	985.0	740.0	572.0	181.0	183.0	357.0	303.0	741.0	802.0
d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Caldilineales;f__Caldilineaceae	734.0	612.0	198.0	622.0	628.0	624.0	184.0	469.0	662.0	717.0	765.0	1091.0	1097.0	771.0	586.0	724.0	678.0	1035.0	432.0	1000.0	989.0
d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__67-14	1892.0	2579.0	2280.0	1449.0	2580.0	2972.0	713.0	1214.0	2184.0	2155.0	2613.0	1535.0	1748.0	1449.0	1138.0	1307.0	1049.0	1790.0	1263.0	2430.0	2431.0
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae	602.0	364.0	781.0	285.0	507.0	540.0	99.0	167.0	232.0	330.0	316.0	534.0	1648.0	1047.0	815.0	1061.0	745.0	1291.0	806.0	1721.0	1836.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Intrasporangiaceae	405.0	465.0	195.0	369.0	887.0	322.0	137.0	289.0	494.0	537.0	1247.0	823.0	545.0	479.0	430.0	219.0	181.0	378.0	567.0	978.0	903.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae	625.0	151.0	639.0	303.0	496.0	475.0	155.0	134.0	428.0	546.0	739.0	1337.0	496.0	438.0	314.0	579.0	441.0	882.0	547.0	917.0	792.0
d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Tepidisphaerales;f__WD2101_soil_group	803.0	974.0	728.0	250.0	1411.0	888.0	100.0	678.0	413.0	1616.0	920.0	602.0	1656.0	1077.0	926.0	910.0	807.0	1170.0	1373.0	2719.0	2547.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Azospirillales;f__Azospirillaceae	689.0	187.0	465.0	149.0	456.0	374.0	79.0	160.0	269.0	352.0	429.0	592.0	656.0	413.0	474.0	269.0	220.0	405.0	287.0	605.0	698.0
d__Bacteria;p__Actinobacteriota;c__MB-A2-108;o__MB-A2-108;f__MB-A2-108	586.0	1738.0	692.0	367.0	868.0	770.0	187.0	857.0	1149.0	727.0	323.0	337.0	283.0	258.0	265.0	256.0	263.0	349.0	86.0	113.0	101.0
d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae	24.0	1.0	52.0	1.0	47.0	12.0	1.0	12.0	22.0	37.0	47.0	63.0	673.0	464.0	380.0	350.0	326.0	549.0	298.0	456.0	531.0
