pathway	NGS001-23_16S_41	NGS001-23_16S_42	NGS001-23_16S_43	NGS001-23_16S_44	NGS001-23_16S_47	NGS001-23_16S_48	NGS069-23_16S_29	NGS069-23_16S_30	NGS069-23_16S_31	NGS069-23_16S_32	NGS069-23_16S_35	NGS069-23_16S_36	NGS069-24-16S-1	NGS069-24-16S-2	NGS069-24-16S-3	NGS069-24-16S-4	NGS069-24-16S-5	NGS069-24-16S-6	NGS069-24-16S-7	NGS069-24-16S-8	NGS069-24-16S-9
1CMET2-PWY	43272.40340580303	40037.359815574884	37601.935171075784	37627.19147187212	41009.97103839204	43362.256819400136	7828.418366298608	19242.440241861284	28017.132860543377	33484.73210978176	34291.533700127795	46100.00320807017	58768.41100384649	41894.60445197706	33565.57461923953	33762.51692952294	26985.307864891143	48519.31450325678	26201.182465817394	54594.85129838838	54034.923890568556
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	1846.7042851152294	1441.2903848104204	1486.4986146981516	1901.1552813621547	1328.3549959442855	2134.5009302411668	192.90890510459383	534.2162884236061	1011.2672634640392	1394.3993298925934	1498.7423652747161	2903.5141217774326	2362.56290538265	1846.9176778533715	1401.4670548171123	1483.2294474074758	1208.2959747552618	2237.277789223599	1236.578978891375	2680.7137818122737	2453.075535940512
AEROBACTINSYN-PWY	18.00399410533976	18.602157438720347	0.0	17.156182235246582	0.0	29.192526553535558	0.0	0.0	0.0	0.0	17.659755644579512	9.396479672223087	30.50352723487915	0.0	19.873789961253518	31.824326642648828	23.864829347050655	17.295050272002282	10.612589433393113	7.987877318462845	69.06337486235809
ALL-CHORISMATE-PWY	16095.618551906586	13169.819796299105	13428.18520034844	13572.181623193655	15747.735887871293	15984.571144360383	2276.9835787336056	5916.9444350304875	9055.303683241484	13144.22387862663	14483.717492174837	17498.561493129917	20215.050050962956	14625.97341590144	12023.239701723163	11390.790677250712	9898.280735065679	17170.956254313754	10480.157771581904	23270.54920113914	23248.26893281522
ANAEROFRUCAT-PWY	49877.53618411367	50050.153446309625	43354.31474605465	45583.55888066174	50905.90883087227	50235.340979344786	9079.758126375344	24649.192156725236	34807.91791980184	40742.04605406928	42919.25246970031	51504.80770099856	61983.59084528607	45244.504584958995	36159.437450987265	37885.77283665372	30926.36678080539	54481.46477825929	28811.3849102083	59184.130900880125	59216.23264808769
ANAGLYCOLYSIS-PWY	64947.30206696227	66126.81013526939	56599.97508977194	57556.100305674496	66495.57902964165	63789.76518868854	11488.792257561236	31498.77565739715	43222.7650982643	51981.70575713563	52821.85892021235	62285.918264543136	82203.22324570383	59171.69148732782	47047.422102465374	48941.885240941934	39829.33673489275	69891.28716411705	39030.52196442851	81226.15338717887	80836.55774635101
ARG+POLYAMINE-SYN	28139.404336277796	24835.16452492233	25044.377286759947	23943.815903839	21671.190194871164	27202.049609329388	4584.567130217661	11686.667121250284	17422.128562879807	20617.34828969953	15886.341764298231	24060.4891882307	33682.07538741495	24298.777888514483	18729.266737559385	20197.18174875493	16433.43687777072	29252.44362830411	13874.460535205146	28370.818835549064	28996.697283443234
ARGDEG-PWY	246.87471926345611	5.597934149925522	1.3567837437557437	10.011426666322851	0.0	51.85218450417711	0.0	0.0	8.992111351830475	54.826671551842146	92.36019512247432	23.38115617224121	12.506990290550512	4.78614466077343	0.0	7.694722641644611	4.769941141887605	0.0	5.596941688174054	4.4789993053936525	4.4789665036911535
ARGORNPROST-PWY	10739.107431336733	10915.810750720218	8449.63440744704	10557.75174594371	11874.401608352075	10720.16921387309	2590.8383606701364	5545.518478516194	9049.628041054211	9499.20478397615	13562.667355202779	15566.612287087843	15378.366937374716	11334.07504205243	9358.786995143952	9627.247201935448	8033.492266556472	13880.908369247085	7428.323386429958	15043.470892309304	14703.327869849947
ARGSYN-PWY	58046.76563681999	59333.93745631068	50139.45804659814	50278.84507712752	58995.53739932585	56516.05117026274	10313.601723368249	28251.760582372914	38598.835940616824	46234.023742088975	47102.50266205424	55170.3567694293	70979.02825397506	51530.788004760565	41005.666370370935	41634.47342516848	34176.70669532429	59682.627916018035	33578.07711469509	69365.854340452	69144.24544631873
