SampleID	Type	TypeII	tanda
NGS069-23_16S_29	Equine	Burro_1	2
NGS069-23_16S_30	Equine	Burro_4	2
NGS069-23_16S_31	Ovine	Oveja_1	2
NGS069-23_16S_32	Ovine	Oveja_4	2
NGS069-23_16S_35	Livestock_exc	Control_1	2
NGS069-23_16S_36	Livestock_exc	Control_4	2
NGS001-23_16S_41	Equine	Burro_2	3
NGS001-23_16S_42	Equine	Burro_3	3
NGS001-23_16S_43	Ovine	Oveja_2	3
NGS001-23_16S_44	Ovine	Oveja_3	3
NGS001-23_16S_47	Livestock_exc	Control_2	3
NGS001-23_16S_48	Livestock_exc	Control_3	3
NGS069-24-16S-1	Equine_c	Burro_8M_1	4
NGS069-24-16S-2	Equine_c	Burro_8M_2	4
NGS069-24-16S-3	Equine_c	Burro_8M_3	4
NGS069-24-16S-4	Ovine_c	Oveja_8M_1	4
NGS069-24-16S-5	Ovine_c	Oveja_8M_2	4
NGS069-24-16S-6	Ovine_c	Oveja_8M_3	4
NGS069-24-16S-7	Livestock_exc_c	control_compost_8M_1	4
NGS069-24-16S-8	Livestock_exc_c	control_compost_8M_2	4
NGS069-24-16S-9	Livestock_exc_c	control_compost_8M_3	4
