sample-id,depth-1_iter-1,depth-1_iter-2,depth-1_iter-3,depth-1_iter-4,depth-1_iter-5,depth-1_iter-6,depth-1_iter-7,depth-1_iter-8,depth-1_iter-9,depth-1_iter-10,depth-6155_iter-1,depth-6155_iter-2,depth-6155_iter-3,depth-6155_iter-4,depth-6155_iter-5,depth-6155_iter-6,depth-6155_iter-7,depth-6155_iter-8,depth-6155_iter-9,depth-6155_iter-10,depth-12309_iter-1,depth-12309_iter-2,depth-12309_iter-3,depth-12309_iter-4,depth-12309_iter-5,depth-12309_iter-6,depth-12309_iter-7,depth-12309_iter-8,depth-12309_iter-9,depth-12309_iter-10,depth-18464_iter-1,depth-18464_iter-2,depth-18464_iter-3,depth-18464_iter-4,depth-18464_iter-5,depth-18464_iter-6,depth-18464_iter-7,depth-18464_iter-8,depth-18464_iter-9,depth-18464_iter-10,depth-24618_iter-1,depth-24618_iter-2,depth-24618_iter-3,depth-24618_iter-4,depth-24618_iter-5,depth-24618_iter-6,depth-24618_iter-7,depth-24618_iter-8,depth-24618_iter-9,depth-24618_iter-10,depth-30772_iter-1,depth-30772_iter-2,depth-30772_iter-3,depth-30772_iter-4,depth-30772_iter-5,depth-30772_iter-6,depth-30772_iter-7,depth-30772_iter-8,depth-30772_iter-9,depth-30772_iter-10,depth-36927_iter-1,depth-36927_iter-2,depth-36927_iter-3,depth-36927_iter-4,depth-36927_iter-5,depth-36927_iter-6,depth-36927_iter-7,depth-36927_iter-8,depth-36927_iter-9,depth-36927_iter-10,depth-43081_iter-1,depth-43081_iter-2,depth-43081_iter-3,depth-43081_iter-4,depth-43081_iter-5,depth-43081_iter-6,depth-43081_iter-7,depth-43081_iter-8,depth-43081_iter-9,depth-43081_iter-10,depth-49235_iter-1,depth-49235_iter-2,depth-49235_iter-3,depth-49235_iter-4,depth-49235_iter-5,depth-49235_iter-6,depth-49235_iter-7,depth-49235_iter-8,depth-49235_iter-9,depth-49235_iter-10,depth-55390_iter-1,depth-55390_iter-2,depth-55390_iter-3,depth-55390_iter-4,depth-55390_iter-5,depth-55390_iter-6,depth-55390_iter-7,depth-55390_iter-8,depth-55390_iter-9,depth-55390_iter-10,Type,TypeII
NGS001-23_16S_41,1,1,1,1,1,1,1,1,1,1,1554,1599,1576,1558,1568,1568,1575,1567,1535,1567,1825.0,1817.0,1824.0,1843.0,1848.0,1839.0,1833.0,1842.0,1843.0,1836.0,1940.0,1953.0,1940.0,1940.0,1939.0,1929.0,1932.0,1939.0,1946.0,1924.0,1996.0,1981.0,1979.0,1986.0,1983.0,1994.0,1975.0,1981.0,1980.0,1982.0,2014.0,2001.0,2009.0,2010.0,2020.0,2017.0,2013.0,2017.0,2015.0,2005.0,2029.0,2022.0,2024.0,2024.0,2027.0,2021.0,2021.0,2025.0,2025.0,2019.0,2033.0,2027.0,2031.0,2029.0,2029.0,2032.0,2030.0,2028.0,2026.0,2033.0,2038.0,2039.0,2037.0,2037.0,2038.0,2039.0,2037.0,2037.0,2039.0,2039.0,2041.0,2040.0,2040.0,2039.0,2036.0,2038.0,2041.0,2040.0,2037.0,2039.0,Equine,Burro_2
NGS001-23_16S_42,1,1,1,1,1,1,1,1,1,1,1481,1476,1461,1480,1469,1458,1494,1445,1476,1465,1750.0,1745.0,1751.0,1740.0,1758.0,1737.0,1733.0,1727.0,1730.0,1739.0,1840.0,1821.0,1818.0,1831.0,1824.0,1832.0,1830.0,1834.0,1839.0,1825.0,1875.0,1873.0,1879.0,1869.0,1856.0,1878.0,1879.0,1871.0,1877.0,1860.0,1896.0,1903.0,1903.0,1894.0,1893.0,1899.0,1892.0,1897.0,1895.0,1900.0,1913.0,1919.0,1912.0,1915.0,1915.0,1911.0,1916.0,1913.0,1917.0,1917.0,1919.0,1921.0,1920.0,1920.0,1924.0,1924.0,1922.0,1930.0,1922.0,1922.0,1931.0,1929.0,1927.0,1929.0,1932.0,1929.0,1930.0,1930.0,1933.0,1926.0,1932.0,1931.0,1933.0,1932.0,1933.0,1930.0,1933.0,1931.0,1932.0,1934.0,Equine,Burro_3
NGS001-23_16S_43,1,1,1,1,1,1,1,1,1,1,1432,1440,1417,1440,1425,1417,1403,1427,1414,1433,1647.0,1646.0,1647.0,1646.0,1646.0,1640.0,1630.0,1651.0,1626.0,1628.0,1703.0,1704.0,1704.0,1710.0,1713.0,1707.0,1715.0,1720.0,1717.0,1709.0,1743.0,1749.0,1739.0,1752.0,1738.0,1745.0,1741.0,1746.0,1753.0,1754.0,1768.0,1764.0,1765.0,1765.0,1765.0,1763.0,1764.0,1758.0,1764.0,1762.0,1774.0,1770.0,1771.0,1771.0,1774.0,1771.0,1770.0,1776.0,1770.0,1771.0,1778.0,1782.0,1780.0,1776.0,1778.0,1778.0,1776.0,1776.0,1777.0,1776.0,1780.0,1782.0,1781.0,1780.0,1782.0,1782.0,1783.0,1781.0,1782.0,1782.0,,,,,,,,,,,Ovine,Oveja_2
NGS001-23_16S_44,1,1,1,1,1,1,1,1,1,1,1603,1577,1607,1592,1584,1580,1563,1585,1600,1586,1848.0,1838.0,1839.0,1821.0,1849.0,1847.0,1844.0,1820.0,1855.0,1839.0,1938.0,1933.0,1940.0,1940.0,1918.0,1929.0,1929.0,1915.0,1923.0,1933.0,1973.0,1975.0,1973.0,1971.0,1974.0,1979.0,1969.0,1972.0,1980.0,1966.0,1994.0,1992.0,1993.0,1987.0,1999.0,1988.0,1989.0,1992.0,1990.0,1993.0,2010.0,2007.0,2004.0,2010.0,2003.0,2003.0,2005.0,2004.0,2002.0,2004.0,2013.0,2006.0,2010.0,2006.0,2012.0,2007.0,2010.0,2011.0,2011.0,2015.0,2016.0,2013.0,2015.0,2014.0,2014.0,2014.0,2015.0,2012.0,2014.0,2014.0,2016.0,2016.0,2016.0,2016.0,2016.0,2016.0,2016.0,2016.0,2016.0,2016.0,Ovine,Oveja_3
NGS001-23_16S_47,1,1,1,1,1,1,1,1,1,1,1371,1399,1389,1377,1371,1382,1384,1409,1381,1389,1632.0,1601.0,1606.0,1609.0,1626.0,1613.0,1593.0,1597.0,1599.0,1603.0,1685.0,1693.0,1692.0,1677.0,1698.0,1685.0,1696.0,1697.0,1697.0,1691.0,1721.0,1725.0,1725.0,1720.0,1724.0,1731.0,1733.0,1731.0,1722.0,1719.0,1743.0,1746.0,1746.0,1746.0,1749.0,1744.0,1741.0,1743.0,1748.0,1748.0,1751.0,1760.0,1763.0,1763.0,1761.0,1760.0,1762.0,1757.0,1759.0,1759.0,1765.0,1773.0,1769.0,1764.0,1769.0,1767.0,1771.0,1771.0,1764.0,1768.0,1772.0,1771.0,1775.0,1771.0,1774.0,1773.0,1769.0,1774.0,1776.0,1773.0,1775.0,1777.0,1777.0,1777.0,1775.0,1777.0,1775.0,1776.0,1778.0,1776.0,livestock_exclusion,Control_2
NGS001-23_16S_48,1,1,1,1,1,1,1,1,1,1,1577,1544,1580,1627,1572,1589,1555,1566,1549,1545,1823.0,1838.0,1821.0,1829.0,1832.0,1844.0,1822.0,1820.0,1827.0,1837.0,1928.0,1926.0,1928.0,1925.0,1914.0,1930.0,1927.0,1927.0,1918.0,1908.0,1971.0,1963.0,1965.0,1965.0,1967.0,1957.0,1965.0,1961.0,1969.0,1963.0,1996.0,1993.0,1982.0,1990.0,1989.0,1992.0,1988.0,1986.0,1989.0,1985.0,1988.0,2001.0,2003.0,1992.0,1998.0,2003.0,1996.0,1999.0,1996.0,1994.0,2001.0,2001.0,2005.0,2007.0,2005.0,2005.0,2009.0,2006.0,2001.0,2004.0,2012.0,2010.0,2011.0,2010.0,2007.0,2010.0,2010.0,2011.0,2011.0,2007.0,2016.0,2014.0,2015.0,2011.0,2015.0,2013.0,2013.0,2014.0,2012.0,2014.0,livestock_exclusion,Control_3
NGS069-23_16S_29,1,1,1,1,1,1,1,1,1,1,372,374,371,374,375,372,372,372,371,372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equine,Burro_1
NGS069-23_16S_30,1,1,1,1,1,1,1,1,1,1,1089,1082,1100,1092,1092,1091,1094,1081,1103,1106,1205.0,1204.0,1203.0,1207.0,1213.0,1207.0,1206.0,1208.0,1213.0,1218.0,1240.0,1244.0,1251.0,1250.0,1242.0,1240.0,1244.0,1242.0,1248.0,1241.0,1259.0,1260.0,1259.0,1260.0,1255.0,1258.0,1260.0,1258.0,1261.0,1259.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equine,Burro_4
NGS069-23_16S_31,1,1,1,1,1,1,1,1,1,1,1258,1275,1277,1282,1286,1286,1261,1262,1284,1278,1443.0,1447.0,1441.0,1446.0,1439.0,1454.0,1455.0,1445.0,1445.0,1450.0,1501.0,1508.0,1508.0,1502.0,1503.0,1512.0,1508.0,1500.0,1510.0,1503.0,1529.0,1536.0,1532.0,1528.0,1536.0,1530.0,1535.0,1531.0,1531.0,1529.0,1547.0,1546.0,1545.0,1544.0,1545.0,1542.0,1549.0,1547.0,1550.0,1546.0,1551.0,1551.0,1552.0,1550.0,1551.0,1550.0,1550.0,1551.0,1552.0,1551.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ovine,Oveja_1
NGS069-23_16S_32,1,1,1,1,1,1,1,1,1,1,1448,1485,1465,1449,1446,1457,1482,1467,1451,1465,1703.0,1681.0,1692.0,1694.0,1715.0,1693.0,1695.0,1698.0,1667.0,1693.0,1789.0,1785.0,1758.0,1776.0,1775.0,1772.0,1780.0,1762.0,1767.0,1773.0,1823.0,1812.0,1820.0,1807.0,1813.0,1806.0,1816.0,1809.0,1824.0,1810.0,1835.0,1840.0,1837.0,1837.0,1831.0,1838.0,1836.0,1832.0,1838.0,1830.0,1842.0,1846.0,1836.0,1847.0,1844.0,1843.0,1846.0,1847.0,1846.0,1845.0,1853.0,1851.0,1849.0,1850.0,1851.0,1851.0,1852.0,1852.0,1851.0,1851.0,1853.0,1853.0,1853.0,1853.0,1853.0,1853.0,1853.0,1853.0,1853.0,1853.0,,,,,,,,,,,Ovine,Oveja_4
