sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
NGS001-23_16S_41	109642	81674	74.49	76463	63702	58.1	61701	56.27
NGS001-23_16S_42	110784	82704	74.65	77254	65274	58.92	63359	57.19
NGS001-23_16S_43	96595	72248	74.79	67459	55748	57.71	53871	55.77
NGS001-23_16S_44	106599	77818	73	71984	57649	54.08	55390	51.96
NGS001-23_16S_47	107948	80038	74.14	75586	66028	61.17	64087	59.37
NGS001-23_16S_48	107254	80366	74.93	75090	62459	58.23	60500	56.41
NGS069-23_16S_29	40406	19472	48.19	17001	10959	27.12	10348	25.61
NGS069-23_16S_30	50045	41650	83.23	37487	31037	62.02	30217	60.38
NGS069-23_16S_31	66578	56179	84.38	50867	41863	62.88	40553	60.91
NGS069-23_16S_32	81306	68295	84	61420	51182	62.95	49709	61.14
NGS069-23_16S_35	77484	65281	84.25	61205	52459	67.7	49735	64.19
NGS069-23_16S_36	94384	80788	85.6	75606	64588	68.43	59472	63.01
NGS069-24-16S-1	146241	106795	73.03	99571	82059	56.11	78445	53.64
NGS069-24-16S-2	97181	77479	79.73	71738	58901	60.61	56704	58.35
NGS069-24-16S-3	80508	63371	78.71	58349	46663	57.96	45002	55.9
NGS069-24-16S-4	86398	66529	77	61323	49015	56.73	46886	54.27
NGS069-24-16S-5	70939	56173	79.18	50943	39724	56	38048	53.63
NGS069-24-16S-6	115410	90453	78.38	84233	69741	60.43	66627	57.73
NGS069-24-16S-7	68791	52544	76.38	48300	39027	56.73	37496	54.51
NGS069-24-16S-8	129633	101641	78.41	95458	82005	63.26	77877	60.07
NGS069-24-16S-9	128854	102211	79.32	95564	80977	62.84	77342	60.02
