,0
5d6d41bab35d14a56fad08d8a468f6f9,8720.0
00f28f5690f91a297549196eabf7dbbc,8266.0
8fb85999a7d422ba6f9a82eadcf1ab74,8141.0
ba89fa85dd6826f58ba1d7f6d7328aa7,8086.0
8227d1d1ad049ee0bf0691ce58f2d7e5,7119.0
978fa731fd04cddbcfaf1437a2342587,6911.0
bb9075df1dd7e04129a068735e8e50df,5957.0
5c6f9dfd3209f9080669694c0f1f5c83,5876.0
debc70ccd1a5d282f54d7b66714b3212,5788.0
4e082cafdb94de17c13ce40268e34122,5648.0
ebfd236185c665a5d5c6650938425291,5555.0
4f48a0f69186f244b0ec0827eef01985,5021.0
d554cbc3fd0a5c06af64d49b45f62960,4634.0
c08ab4c5551bd8c8e6d61751c4ad6aba,4627.0
b933ae4e260260acd54e47469463c2ad,4461.0
2b5a0bb717eb3aa081d37a5b70483d5f,4152.0
632624b1ba54cc4516b40cece2579c30,3960.0
e140a7e413b4a421e1364007640a07ca,3863.0
a9ea61d1f4154c1cb8b4ff13d1a45cbf,3762.0
f5ea1253d79f4a6da916a82e08eab1f7,3655.0
6ff08206734ea4e7607c467253c4797c,3608.0
cd8c9cd2466b4d74c4b8ab0ff53c97bf,3467.0
f31d62dd0028467d251743f63462070d,3220.0
e77efdf9c1f0ece2eddef4b3127db86f,3174.0
49c423f8daf3bc2f51a50c0d0d262922,3042.0
9d5a44e5e753ee4a8a0c67695285aaf2,2939.0
522c8f38a3fe7a008c552fe18fc8932c,2892.0
6084f4bd66b2b318c638e4ff7e8d9712,2884.0
59fbaf6923c71f7680f6709e428af2ba,2867.0
efb6643f71669d6322bedacbb310c4ec,2829.0
0b3ac64a2635a5bb07a414264c8c2452,2737.0
76487085fb444f38a202d703aae1a664,2678.0
1bf18e9ea8a38537235170a48ca30b47,2669.0
c13b1be9b99afd9b82b8900d56c6d4ec,2668.0
43b91789a978dcd4ba85c1974f624138,2624.0
28e118ca5b1f487d3cc548289a5e9af4,2607.0
fe0dc305c6e9a71dcc7c9ff527c7f898,2548.0
5e5e862c745ba1eb51bbebea1f99b4e3,2521.0
9e5111120d79a7f49efa127a47597abf,2510.0
b0f02e73a47f73122e9c0ddfe9971db2,2493.0
dadebeb128fd18aac1c5b958d1d53e83,2391.0
64eb8fa3e9d36bfd78e7b9336b9e7295,2385.0
52f0e231284c354854082fd86eeacc64,2367.0
e1e66275d4eb0bfee5ae923c72b0b62c,2343.0
f5c0946088b349022a8d5378d59dd17b,2340.0
1f80cebfea8ec92635cbaa8418ffe7d8,2339.0
9aee6ee22dbbc412c77ee152f09e1720,2324.0
bc91ce155797512c9cf5082f5226bf08,2292.0
67ca2135172af11f84de2abd956186b3,2259.0
af7959224880adf700d4896414641733,2233.0
2b675d6874c8bdfbbaa876d2b6a2cd3f,2208.0
9f338479942ee80f7676f51964c8fc8f,2198.0
063e8057ceb533f566e99e67f190ba48,2197.0
86206d36fab430cea49ecd42bd184585,2142.0
29a4e6c27784fdb3b5da36c3b70dc533,2139.0
020d78312d3088cf8ec32d0a651bb15b,2126.0
20d3172b93718ae9997d3cd7a064042d,2023.0
08bf1521a35564a12bc15ce76010699e,1993.0
5bc699374e2da080de8c4adacf41cad4,1977.0
58fb6d63b25333e9339804b44d242320,1913.0
e0897e9df10d291167ea1f7ba88495ff,1875.0
085b9386c83d24bad6f6b752d180c83b,1831.0
58c69466ae96422c09a2777f8b18c332,1784.0
001eee633e97aa07af04102062ed17f4,1752.0
fb709b605e8a61f8240b8f518e6da620,1751.0
08cc0c75cf3ab7d92945a97b9c89ea18,1745.0
db91ffac4829c2559bc42ed3a4a74740,1743.0
1959a15367c6a48c6cb6bc016ef70986,1738.0
3b82bc9b20c39dc205412e17531db225,1689.0
6d6a96c90e8ee8c30d73fa06b5059eec,1679.0
4ae86482263cf15863c46269c87a7dee,1668.0
db25ea9da1e577aa35f1fb56f8c5604e,1666.0
2b512f9fa50905f5004f0db53032d6ef,1660.0
d6f91462d2dad52dce9d1564de90e1be,1658.0
8c8c1a9ca22ed8dc1ad2a58e3766598c,1652.0
55e7c825ac969c8373e7e8e9ebbd391b,1634.0
4f2b26551f4f39b997685940e07ae06d,1634.0
76031eb1d811089f24fe99fe6b961fc1,1630.0
4198d4d97ffb368fb92fb57222660117,1629.0
51816ef2617e35e39f748d1d45d53c70,1618.0
33ec68d4da51e44c9c66c2b3a78ed6ce,1616.0
f6fff6ef57ded382f6b020e988e54605,1616.0
f7833be1870e0f69853910e3f6b52071,1605.0
53493e9bbd22a190318dbc713a8f7c0b,1603.0
5e9935e2a7ccc6c512c92e082c906c0c,1586.0
4d8f11d0770101861345e0fc651f9c3d,1568.0
6994530ec8d4d4b29352dd9fb4bf3226,1566.0
1533eeecb17d6cd8eed566399782b690,1560.0
f91271d05d903e30578e3a90b5d03232,1546.0
7b4e3e66d1f792b1b458bd73f0ead552,1535.0
d89108109645af0dc69c1dcfcf9df172,1532.0
e9f41dc67c7feca3693547933f24a1ef,1516.0
4a708de6164a3aba3ef48951d5f8acf8,1516.0
bf9acd1783e0d38e7595c37f2bfb0596,1515.0
cdc815a62b3a235b27d0601614f11100,1515.0
64beebfaa3a0dd5aa8dcc56f69ef5181,1505.0
8cb8c73d80cbc64ad19210619c5d3f6d,1501.0
56b7969391550cc49448d0965aaa62f2,1490.0
0c61b26d6a71d2ae0dc50effde7e778e,1489.0
a85362424620af7a308cd836d7c6a220,1461.0
88686a6e003b1b5c652eb9497da662b9,1460.0
30d18f7540d67aa78bce8cbf08cc7e83,1446.0
e2596b13dd8307ff6cac586b4fe86462,1439.0
2084e1241f500f0c4f7fc63d2e229842,1435.0
e69529147d0a7e731993841b340bcaed,1424.0
8ca27fb2502b09766a2e0998b58fd17f,1414.0
61e25c5b8c81a083a8d3b173bab90012,1411.0
c63c9bc1ac8945e5ffbd6363553d2b1f,1406.0
16064ebc2e75fb65a6f9b7efe7864ae9,1399.0
