index,d__Bacteria,d__Archaea,Unassigned,d__Eukaryota,Type,TypeII,tanda
NGS001-23_16S_41,61577.0,47.0,77.0,0.0,Equine,Burro_2,3.0
NGS001-23_16S_42,63109.0,60.0,188.0,2.0,Equine,Burro_3,3.0
NGS001-23_16S_43,53845.0,9.0,17.0,0.0,Ovine,Oveja_2,3.0
NGS001-23_16S_44,55238.0,33.0,111.0,8.0,Ovine,Oveja_3,3.0
NGS001-23_16S_47,63863.0,17.0,203.0,4.0,livestock_exclusion,Control_2,3.0
NGS001-23_16S_48,60454.0,0.0,44.0,2.0,livestock_exclusion,Control_3,3.0
NGS069-23_16S_29,10348.0,0.0,0.0,0.0,Equine,Burro_1,2.0
NGS069-23_16S_30,30040.0,126.0,47.0,4.0,Equine,Burro_4,2.0
NGS069-23_16S_31,40404.0,78.0,61.0,10.0,Ovine,Oveja_1,2.0
NGS069-23_16S_32,49547.0,118.0,36.0,8.0,Ovine,Oveja_4,2.0
NGS069-23_16S_35,49525.0,198.0,12.0,0.0,livestock_exclusion,Control_1,2.0
NGS069-23_16S_36,59282.0,188.0,0.0,2.0,livestock_exclusion,Control_4,2.0
NGS069-24-16S-1,78240.0,155.0,50.0,0.0,Equine+c,Burro_8M_1,4.0
NGS069-24-16S-2,56585.0,77.0,37.0,5.0,Equine+c,Burro_8M_2,4.0
NGS069-24-16S-3,44897.0,80.0,17.0,8.0,Equine+c,Burro_8M_3,4.0
NGS069-24-16S-4,46738.0,97.0,44.0,7.0,ovine+c,Oveja_8M_1,4.0
NGS069-24-16S-5,37907.0,103.0,34.0,4.0,ovine+c,Oveja_8M_2,4.0
NGS069-24-16S-6,66390.0,147.0,64.0,26.0,ovine+c,Oveja_8M_3,4.0
NGS069-24-16S-7,37344.0,93.0,51.0,8.0,Livestock_exc+c,control_compost_8M_1,4.0
NGS069-24-16S-8,77455.0,246.0,169.0,7.0,Livestock_exc+c,control_compost_8M_2,4.0
NGS069-24-16S-9,76907.0,265.0,164.0,6.0,Livestock_exc+c,control_compost_8M_3,4.0
