index,d__Bacteria;p__Actinobacteriota,d__Bacteria;p__Proteobacteria,d__Bacteria;p__Firmicutes,d__Bacteria;p__Chloroflexi,d__Bacteria;p__Bacteroidota,d__Bacteria;p__Acidobacteriota,d__Bacteria;__,d__Bacteria;p__Gemmatimonadota,d__Bacteria;p__Planctomycetota,d__Bacteria;p__Desulfobacterota,d__Bacteria;p__Nitrospirota,d__Bacteria;p__Verrucomicrobiota,d__Bacteria;p__Cyanobacteria,d__Bacteria;p__Myxococcota,d__Bacteria;p__Entotheonellaeota,d__Archaea;p__Crenarchaeota,d__Bacteria;p__Methylomirabilota,d__Bacteria;p__Bdellovibrionota,d__Bacteria;p__Deinococcota,d__Bacteria;p__Patescibacteria,d__Bacteria;p__Sumerlaeota,Unassigned;__,d__Bacteria;p__Halanaerobiaeota,d__Bacteria;p__Latescibacterota,d__Bacteria;p__NB1-j,d__Archaea;p__Nanoarchaeota,d__Bacteria;p__Armatimonadota,d__Bacteria;p__WPS-2,d__Bacteria;p__Fibrobacterota,d__Bacteria;p__Dependentiae,d__Bacteria;p__Elusimicrobiota,d__Bacteria;p__WS4,d__Bacteria;p__Abditibacteriota,d__Bacteria;p__SAR324_clade(Marine_group_B),d__Bacteria;p__WS2,d__Archaea;p__Halobacterota,d__Bacteria;p__Hydrogenedentes,d__Bacteria;p__MBNT15,d__Bacteria;p__Spirochaetota,d__Bacteria;p__Dadabacteria,d__Eukaryota;__,d__Bacteria;p__FCPU426,d__Archaea;p__Euryarchaeota,d__Eukaryota;p__Phragmoplastophyta,d__Bacteria;p__Deferrisomatota,d__Bacteria;p__TX1A-33,d__Eukaryota;p__Chlorophyta,d__Archaea;p__Thermoplasmatota,Type,TypeII,tanda
NGS001-23_16S_41,15323.0,13764.0,4651.0,4744.0,3042.0,9848.0,409.0,1881.0,3083.0,50.0,431.0,1931.0,118.0,1030.0,272.0,47.0,67.0,300.0,5.0,331.0,112.0,77.0,16.0,36.0,9.0,0.0,22.0,9.0,11.0,20.0,16.0,0.0,13.0,7.0,6.0,0.0,13.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,Equine,Burro_2,3.0
NGS001-23_16S_42,18782.0,10441.0,4478.0,7003.0,2059.0,9283.0,578.0,1787.0,4329.0,43.0,284.0,1704.0,37.0,1215.0,319.0,60.0,136.0,84.0,0.0,208.0,72.0,188.0,17.0,136.0,25.0,0.0,12.0,0.0,5.0,57.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Equine,Burro_3,3.0
NGS001-23_16S_43,13887.0,11159.0,7943.0,3551.0,2718.0,6585.0,404.0,1883.0,2502.0,74.0,238.0,721.0,688.0,712.0,191.0,0.0,51.0,156.0,5.0,149.0,63.0,17.0,31.0,9.0,22.0,0.0,40.0,10.0,6.0,9.0,6.0,0.0,8.0,2.0,13.0,9.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ovine,Oveja_2,3.0
NGS001-23_16S_44,13633.0,9573.0,11224.0,5281.0,3097.0,5039.0,354.0,2897.0,1958.0,23.0,216.0,409.0,67.0,484.0,96.0,8.0,32.0,126.0,58.0,218.0,97.0,111.0,119.0,62.0,28.0,4.0,24.0,2.0,20.0,28.0,19.0,0.0,0.0,3.0,0.0,21.0,11.0,19.0,12.0,9.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,Ovine,Oveja_3,3.0
NGS001-23_16S_47,21137.0,11079.0,2816.0,7532.0,2784.0,8365.0,461.0,1946.0,4415.0,67.0,282.0,1351.0,39.0,812.0,217.0,17.0,75.0,89.0,3.0,94.0,87.0,203.0,3.0,41.0,23.0,0.0,18.0,0.0,6.0,91.0,9.0,0.0,0.0,0.0,4.0,0.0,13.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,livestock_exclusion,Control_2,3.0
NGS001-23_16S_48,16566.0,13054.0,6263.0,5014.0,2907.0,7301.0,269.0,1841.0,3248.0,36.0,224.0,1687.0,121.0,1031.0,172.0,0.0,46.0,219.0,9.0,152.0,142.0,44.0,0.0,19.0,39.0,0.0,30.0,5.0,13.0,8.0,19.0,0.0,0.0,0.0,7.0,0.0,3.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,livestock_exclusion,Control_3,3.0
NGS069-23_16S_29,4080.0,1765.0,1681.0,719.0,424.0,969.0,41.0,84.0,189.0,0.0,6.0,247.0,12.0,39.0,11.0,0.0,9.0,0.0,0.0,65.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Equine,Burro_1,2.0
NGS069-23_16S_30,9607.0,5538.0,1965.0,3532.0,902.0,3536.0,276.0,924.0,2171.0,22.0,139.0,490.0,37.0,409.0,141.0,126.0,45.0,58.0,6.0,83.0,49.0,47.0,0.0,37.0,18.0,0.0,10.0,0.0,11.0,17.0,7.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Equine,Burro_4,2.0
NGS069-23_16S_31,13985.0,8255.0,4225.0,5062.0,1283.0,3005.0,262.0,1070.0,1244.0,63.0,111.0,749.0,68.0,491.0,151.0,78.0,23.0,76.0,4.0,140.0,36.0,61.0,3.0,6.0,15.0,0.0,24.0,0.0,5.0,7.0,19.0,0.0,19.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ovine,Oveja_1,2.0
NGS069-23_16S_32,13984.0,9530.0,3899.0,5915.0,1980.0,5090.0,294.0,1735.0,3596.0,72.0,118.0,1241.0,556.0,644.0,159.0,114.0,7.0,154.0,6.0,263.0,184.0,36.0,10.0,9.0,5.0,2.0,36.0,0.0,0.0,0.0,26.0,0.0,5.0,10.0,17.0,2.0,0.0,2.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ovine,Oveja_4,2.0
