.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content	Kmer Content
NGS001-23_16S_41_S6_L001_R1_001	1	0.5	1	1	0.25	0.5	1	1	0.25	0.25	1	0.25
NGS001-23_16S_41_S6_L001_R2_001	1	0.25	1	1	0.25	0.5	1	1	0.25	0.25	1	0.25
NGS001-23_16S_42_S12_L001_R1_001	1	0.5	1	1	0.25	0.5	1	1	0.25	0.25	1	0.25
NGS001-23_16S_42_S12_L001_R2_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.25	1	0.5
NGS001-23_16S_43_S18_L001_R1_001	1	0.5	1	1	0.25	0.5	1	1	0.25	0.25	1	0.5
NGS001-23_16S_43_S18_L001_R2_001	1	0.25	1	1	0.25	0.5	1	1	0.25	0.25	1	0.25
NGS001-23_16S_44_S24_L001_R1_001	1	0.5	1	1	0.25	0.5	1	1	0.25	0.25	1	0.5
NGS001-23_16S_44_S24_L001_R2_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.25	1	0.5
NGS001-23_16S_45_S30_L001_R1_001	1	0.5	1	1	0.25	0.5	1	1	0.25	0.25	1	0.25
NGS001-23_16S_45_S30_L001_R2_001	1	0.25	1	1	0.25	0.5	1	1	0.25	0.25	1	0.5
NGS001-23_16S_46_S36_L001_R1_001	1	0.25	0.5	1	0.25	0.5	1	1	0.25	0.25	1	0.25
NGS001-23_16S_46_S36_L001_R2_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.25	1	0.5
NGS001-23_16S_47_S42_L001_R1_001	1	0.5	1	1	0.25	0.5	1	1	0.25	0.25	1	0.25
NGS001-23_16S_47_S42_L001_R2_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.25	1	0.25
NGS001-23_16S_48_S48_L001_R1_001	1	0.5	1	1	0.25	0.5	1	1	0.25	0.25	1	0.5
NGS001-23_16S_48_S48_L001_R2_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.25	1	0.25
NGS069-23_16S_29_S42_L001_R1_001	1	0.5	0.5	1	0.25	0.5	1	1	0.25	0.25	1	0.25
NGS069-23_16S_29_S42_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	1	0.25	0.25	1	0.5
NGS069-23_16S_30_S50_L001_R1_001	1	0.5	1	1	0.25	0.5	1	1	0.25	0.25	1	0.25
NGS069-23_16S_30_S50_L001_R2_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.25	1	0.25
NGS069-23_16S_31_S59_L001_R1_001	1	1	1	1	0.25	0.5	1	1	0.25	0.25	1	0.25
NGS069-23_16S_31_S59_L001_R2_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.25	1	0.25
NGS069-23_16S_32_S68_L001_R1_001	1	0.5	1	1	0.25	0.5	1	1	0.25	0.25	1	0.5
NGS069-23_16S_32_S68_L001_R2_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.25	1	0.25
NGS069-23_16S_33_S5_L001_R1_001	1	1	1	1	0.25	0.5	1	1	0.25	0.25	1	0.25
NGS069-23_16S_33_S5_L001_R2_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.25	1	0.25
NGS069-23_16S_34_S14_L001_R1_001	1	1	1	1	0.25	0.25	1	1	0.25	0.25	1	0.25
NGS069-23_16S_34_S14_L001_R2_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.25	1	0.5
NGS069-23_16S_35_S23_L001_R1_001	1	1	1	1	0.25	0.5	1	1	0.25	0.25	1	0.25
NGS069-23_16S_35_S23_L001_R2_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.25	1	0.25
NGS069-23_16S_36_S32_L001_R1_001	1	1	1	1	0.25	0.5	1	1	0.25	0.25	1	0.5
NGS069-23_16S_36_S32_L001_R2_001	1	0.25	1	1	0.25	0.25	1	1	0.25	0.25	1	0.25
