Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64
NGS001-23_16S_41_S6_L001_R1_001 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0010944710968424508)	(15, 0.005654767333685997)	(20, 0.007114062129475932)	(25, 0.009303004323160833)	(30, 0.0100326517210558)	(35, 0.0100326517210558)	(40, 0.010579887269477025)	(45, 0.01276882946316193)	(50, 0.013863300560004376)	(55, 0.01514018350632057)	(60, 0.016417066452636762)	(65, 0.016781890151584246)	(70, 0.01732912570000547)	(75, 0.017511537549479213)	(80, 0.018241184947374183)	(85, 0.019153244194742892)	(90, 0.019153244194742892)	(95, 0.019153244194742892)	(100, 0.019153244194742892)	(105, 0.0200653034421116)	(110, 0.0200653034421116)	(115, 0.020794950840006564)	(120, 0.02097736268948031)	(125, 0.021342186388427796)	(130, 0.022436657485270243)	(135, 0.023895952281060177)	(140, 0.024990423377902627)	(145, 0.027179365571587528)	(150, 0.02827383666842998)	(155, 0.02827383666842998)	(160, 0.02827383666842998)	(165, 0.02827383666842998)	(170, 0.029185895915798687)	(175, 0.030827602561062366)	(180, 0.031010014410536108)	(185, 0.031010014410536108)	(190, 0.07278232794002297)	(195, 0.10050892906003175)	(200, 0.10160340015687419)	(205, 0.10215063570529544)	(210, 0.23129822513270462)	(215, 0.3126539099979935)	(220, 0.3153900877400996)	(225, 0.317214206234837)	(230, 0.3190383247295744)	(235, 0.3214096787727331)	(240, 0.3232337972674705)	(245, 0.32414585651483924)	(250, 0.32524032761168165)	(255, 0.3265172105579978)	(260, 0.32888856460115645)	(265, 0.329253388300104)	(270, 0.329253388300104)	(275, 0.33490815563378995)	(280, 0.3380091570748435)	(285, 0.3443935718064246)
NGS001-23_16S_41_S6_L001_R2_001 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0005472355484212254)	(15, 0.006384414731580963)	(20, 0.00802612137684464)	(25, 0.010215063570529542)	(30, 0.010944710968424509)	(35, 0.010944710968424509)	(40, 0.011491946516845734)	(45, 0.013680888710530636)	(50, 0.014775359807373087)	(55, 0.01605224275368928)	(60, 0.01732912570000547)	(65, 0.017693949398952958)	(70, 0.018241184947374183)	(75, 0.018423596796847925)	(80, 0.019153244194742892)	(85, 0.0200653034421116)	(90, 0.0200653034421116)	(95, 0.0200653034421116)	(100, 0.0200653034421116)	(105, 0.02097736268948031)	(110, 0.02097736268948031)	(115, 0.02170701008737528)	(120, 0.021889421936849018)	(125, 0.022254245635796498)	(130, 0.02334871673263895)	(135, 0.024808011528428885)	(140, 0.02590248262527134)	(145, 0.02809142481895624)	(150, 0.029185895915798687)	(155, 0.029185895915798687)	(160, 0.029185895915798687)	(165, 0.029185895915798687)	(170, 0.0300979551631674)	(175, 0.03173966180843107)	(180, 0.031922073657904816)	(185, 0.031922073657904816)	(190, 0.07588332938107659)	(195, 0.105981284544244)	(200, 0.10707575564108644)	(205, 0.10762299118950766)	(210, 0.23439922657375822)	(215, 0.31447802849273093)	(220, 0.3163021469874683)	(225, 0.317214206234837)	(230, 0.3188559128801007)	(235, 0.32031520767589067)	(240, 0.3210448550737856)	(245, 0.3214096787727331)	(250, 0.3219569143211543)	(255, 0.32232173802010183)	(260, 0.32432826836431294)	(265, 0.3246930920632604)	(270, 0.3256051513106291)	(275, 0.3256051513106291)	(280, 0.3256051513106291)	(285, 0.3257875631601029)
NGS001-23_16S_42_S12_L001_R1_001 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.002346909300982091)	(15, 0.009568168688619295)	(20, 0.012276140958983248)	(25, 0.01444251877527441)	(30, 0.01444251877527441)	(35, 0.01444251877527441)	(40, 0.014984113229347198)	(45, 0.017150491045638358)	(50, 0.017150491045638358)	(55, 0.017150491045638358)	(60, 0.017511554015020216)	(65, 0.01805314846909301)	(70, 0.01805314846909301)	(75, 0.01805314846909301)	(80, 0.0185947429231658)	(85, 0.01895580589254766)	(90, 0.019497400346620453)	(95, 0.01985846331600231)	(100, 0.01985846331600231)	(105, 0.01985846331600231)	(110, 0.01985846331600231)	(115, 0.01985846331600231)	(120, 0.02058058925476603)	(125, 0.02112218370883882)	(130, 0.02202484113229347)	(135, 0.022566435586366264)	(140, 0.022566435586366264)	(145, 0.022566435586366264)	(150, 0.023288561525129984)	(155, 0.028343443096476028)	(160, 0.030690352397458116)	(165, 0.03231513575967649)	(170, 0.032856730213749276)	(175, 0.03375938763720392)	(180, 0.03466204506065858)	(185, 0.037189485846331596)	(190, 0.04513287117273253)	(195, 0.04964615829000578)	(200, 0.050187752744078565)	(205, 0.0521735990756788)	(210, 0.2231369150779896)	(215, 0.33001155401502025)	(220, 0.3338027151935298)	(225, 0.33488590410167535)	(230, 0.33687175043327555)	(235, 0.34048238012709414)	(240, 0.34300982091276716)	(245, 0.34607885615251305)	(250, 0.35005054881571346)	(255, 0.35293905257076835)	(260, 0.353841709994223)	(265, 0.3581744656268053)	(270, 0.36322934719815136)	(275, 0.3733391103408435)	(280, 0.3780329289428076)	(285, 0.3861568457538995)
NGS001-23_16S_42_S12_L001_R2_001 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.002346909300982091)	(15, 0.008846042749855575)	(20, 0.011373483535528594)	(25, 0.013539861351819758)	(30, 0.013539861351819758)	(35, 0.013539861351819758)	(40, 0.01390092432120162)	(45, 0.015345176198729058)	(50, 0.015345176198729058)	(55, 0.015345176198729058)	(60, 0.015706239168110918)	(65, 0.01624783362218371)	(70, 0.01624783362218371)	(75, 0.01624783362218371)	(80, 0.0167894280762565)	(85, 0.017150491045638358)	(90, 0.018053148469093012)	(95, 0.01895580589254766)	(100, 0.019316868861929522)	(105, 0.01985846331600231)	(110, 0.01985846331600231)	(115, 0.01985846331600231)	(120, 0.02058058925476603)	(125, 0.02112218370883882)	(130, 0.021663778162911613)	(135, 0.021663778162911613)	(140, 0.021663778162911613)	(145, 0.021663778162911613)	(150, 0.022385904101675336)	(155, 0.028162911611785097)	(160, 0.030690352397458116)	(165, 0.032676198729058345)	(170, 0.03375938763720392)	(175, 0.03466204506065858)	(180, 0.03556470248411323)	(185, 0.03809214326978625)	(190, 0.04711871750433276)	(195, 0.05235413056036973)	(200, 0.05343731946851531)	(205, 0.05524263431542461)	(210, 0.2225953206239168)	(215, 0.3262203928365107)	(220, 0.32802570768342)	(225, 0.3285673021374928)	(230, 0.32965049104563837)	(235, 0.33326112073945696)	(240, 0.33488590410167535)	(245, 0.33578856152513)	(250, 0.33741334488734837)	(255, 0.34030184864240326)	(260, 0.34030184864240326)	(265, 0.34156556903523977)	(270, 0.3435514153668399)	(275, 0.34860629693818607)	(280, 0.35059214326978627)	(285, 0.3531195840554593)
NGS001-23_16S_43_S18_L001_R1_001 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.003105750815259589)	(15, 0.01118070293493452)	(20, 0.014700553858895387)	(25, 0.018634504891557532)	(30, 0.018634504891557532)	(35, 0.018634504891557532)	(40, 0.01966975516331073)	(45, 0.023810756250323514)	(50, 0.024846006522076712)	(55, 0.024846006522076712)	(60, 0.024846006522076712)	(65, 0.024846006522076712)	(70, 0.02567420673947927)	(75, 0.02608830684818055)	(80, 0.026916507065583108)	(85, 0.027123557119933743)	(90, 0.0289870076090895)	(95, 0.02919405766344014)	(100, 0.030022257880842694)	(105, 0.030022257880842694)	(110, 0.030022257880842694)	(115, 0.030022257880842694)	(120, 0.030022257880842694)	(125, 0.030436357989543972)	(130, 0.031057508152595885)	(135, 0.031057508152595885)	(140, 0.031057508152595885)	(145, 0.03188570836999845)	(150, 0.03312800869610228)	(155, 0.033956208913504836)	(160, 0.034577359076556756)	(165, 0.03623375951136187)	(170, 0.03892541021792019)	(175, 0.04037476059837466)	(180, 0.041824110978829133)	(185, 0.0432734613592836)	(190, 0.05631761478337388)	(195, 0.06418551684869818)	(200, 0.06563486722915265)	(205, 0.06832651793571096)	(210, 0.19048605000258814)	(215, 0.26523111962316887)	(220, 0.26647341994927276)	(225, 0.2681298203840779)	(230, 0.26916507065583106)	(235, 0.26957917076453236)	(240, 0.27372017185154507)	(245, 0.28055282364511613)	(250, 0.2849008747864796)	(255, 0.28614317511258347)	(260, 0.2867643252756354)	(265, 0.28862777576479115)	(270, 0.2906982763082976)	(275, 0.29628862777576476)	(280, 0.3074693307106993)	(285, 0.3134737822868678)
NGS001-23_16S_43_S18_L001_R2_001 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.003105750815259589)	(15, 0.012008903152337077)	(20, 0.015321704021947305)	(25, 0.018634504891557532)	(30, 0.018634504891557532)	(35, 0.018634504891557532)	(40, 0.01966975516331073)	(45, 0.023810756250323514)	(50, 0.024846006522076712)	(55, 0.024846006522076712)	(60, 0.024846006522076712)	(65, 0.024846006522076712)	(70, 0.02567420673947927)	(75, 0.02608830684818055)	(80, 0.027951757337336302)	(85, 0.02815880739168694)	(90, 0.030022257880842694)	(95, 0.030229307935193333)	(100, 0.031057508152595885)	(105, 0.031057508152595885)	(110, 0.031057508152595885)	(115, 0.031057508152595885)	(120, 0.031057508152595885)	(125, 0.03147160826129717)	(130, 0.03209275842434909)	(135, 0.03209275842434909)	(140, 0.03209275842434909)	(145, 0.03292095864175164)	(150, 0.03416325896785548)	(155, 0.03499145918525804)	(160, 0.035612609348309954)	(165, 0.03685490967441379)	(170, 0.03892541021792019)	(175, 0.04016771054402402)	(180, 0.04037476059837466)	(185, 0.04120296081577722)	(190, 0.054247114239867486)	(195, 0.06211501630519177)	(200, 0.06356436668564626)	(205, 0.06687716755525648)	(210, 0.18365339820901705)	(215, 0.25384336663388374)	(220, 0.2550856669599876)	(225, 0.2557068171230395)	(230, 0.2557068171230395)	(235, 0.2561209172317408)	(240, 0.2577773176665459)	(245, 0.26005486826440294)	(250, 0.26316061907966254)	(255, 0.2644029194057663)	(260, 0.26502406956881824)	(265, 0.26564521973187016)	(270, 0.26605931984057146)	(275, 0.26833687043842847)	(280, 0.269786220818883)	(285, 0.2702003209275842)
NGS001-23_16S_44_S24_L001_R1_001 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0003752380416326607)	(15, 0.005065713562040919)	(20, 0.008818093978367528)	(25, 0.013133331457143124)	(30, 0.013696188519592114)	(35, 0.014071426561224776)	(40, 0.014821902644490098)	(45, 0.019137140123265697)	(50, 0.020262854248163677)	(55, 0.021200949352245334)	(60, 0.021576187393877993)	(65, 0.021576187393877993)	(70, 0.021951425435510652)	(75, 0.022514282497959642)	(80, 0.022514282497959642)	(85, 0.023452377602041295)	(90, 0.023452377602041295)	(95, 0.023639996622857627)	(100, 0.025140948789388266)	(105, 0.0253285678102046)	(110, 0.0253285678102046)	(115, 0.0253285678102046)	(120, 0.0253285678102046)	(125, 0.0253285678102046)	(130, 0.027955234101633225)	(135, 0.030769519413878177)	(140, 0.030957138434694508)	(145, 0.030957138434694508)	(150, 0.030957138434694508)	(155, 0.03133237647632717)	(160, 0.033771423746939463)	(165, 0.035459994934286435)	(170, 0.038649518288164056)	(175, 0.03977523241306204)	(180, 0.04277713674612332)	(185, 0.04484094597510295)	(190, 0.08123903601347106)	(195, 0.10600474676122665)	(200, 0.10656760382367565)	(205, 0.10694284186530831)	(210, 0.22439234889633114)	(215, 0.2966256719106183)	(220, 0.29793900505633264)	(225, 0.2996275762436795)	(230, 0.3022542425351082)	(235, 0.3052561468681695)	(240, 0.3069447180555165)	(245, 0.3095713843469451)	(250, 0.3108847174926594)	(255, 0.31482471692980235)	(260, 0.3183894783253126)	(265, 0.32458090601225154)	(270, 0.3300218576159251)	(275, 0.3382770945318436)	(280, 0.3435304271147009)	(285, 0.35291137815551743)
NGS001-23_16S_44_S24_L001_R2_001 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0007504760832653214)	(15, 0.006003808666122571)	(20, 0.010131427124081837)	(25, 0.014071426561224776)	(30, 0.014634283623673769)	(35, 0.01500952166530643)	(40, 0.01575999774857175)	(45, 0.020075235227347346)	(50, 0.021200949352245334)	(55, 0.022139044456326983)	(60, 0.022514282497959642)	(65, 0.022514282497959642)	(70, 0.022889520539592305)	(75, 0.023452377602041295)	(80, 0.023452377602041295)	(85, 0.024390472706122948)	(90, 0.024390472706122948)	(95, 0.024578091726939276)	(100, 0.026079043893469923)	(105, 0.026266662914286247)	(110, 0.026266662914286247)	(115, 0.026266662914286247)	(120, 0.026266662914286247)	(125, 0.026266662914286247)	(130, 0.028518091164082215)	(135, 0.030769519413878177)	(140, 0.030957138434694508)	(145, 0.030957138434694508)	(150, 0.030957138434694508)	(155, 0.03133237647632717)	(160, 0.034146661788572126)	(165, 0.036398090038368094)	(170, 0.039587613392245716)	(175, 0.04071332751714369)	(180, 0.043152374787755986)	(185, 0.04577904107918461)	(190, 0.08236475013836901)	(195, 0.10600474676122665)	(200, 0.10656760382367565)	(205, 0.10694284186530831)	(210, 0.22420472987551476)	(215, 0.2954999577857203)	(220, 0.2960628148481693)	(225, 0.29775138603551626)	(230, 0.29981519526449596)	(235, 0.3013161474310265)	(240, 0.30206662351429187)	(245, 0.3039428137224552)	(250, 0.3058190039306185)	(255, 0.30825805120123073)	(260, 0.3101342414093941)	(265, 0.31238566965919007)	(270, 0.31238566965919007)	(275, 0.3125732886800064)	(280, 0.31351138378408805)	(285, 0.31426185986735333)
NGS001-23_16S_45_S30_L001_R1_001 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0018073051273246464)	(15, 0.011566752814877736)	(20, 0.015000632556794565)	(25, 0.01716939870958414)	(30, 0.01716939870958414)	(35, 0.017530859735049066)	(40, 0.018434512298711393)	(45, 0.01988035640057111)	(50, 0.01988035640057111)	(55, 0.01988035640057111)	(60, 0.020784008964233432)	(65, 0.021145469989698358)	(70, 0.021687661527895755)	(75, 0.021687661527895755)	(80, 0.021687661527895755)	(85, 0.021687661527895755)	(90, 0.02186839204062822)	(95, 0.0234949666552204)	(100, 0.0234949666552204)	(105, 0.0234949666552204)	(110, 0.0234949666552204)	(115, 0.024037158193417795)	(120, 0.024940810757080118)	(125, 0.02530227178254505)	(130, 0.02530227178254505)	(135, 0.02530227178254505)	(140, 0.02602519383347491)	(145, 0.02692884639713723)	(150, 0.027109576909869693)	(155, 0.027109576909869693)	(160, 0.03054345665178652)	(165, 0.0332544143427735)	(170, 0.03379660588097089)	(175, 0.034519527931900745)	(180, 0.035784641521028)	(185, 0.03813413818655004)	(190, 0.049158699463230385)	(195, 0.05674938099799389)	(200, 0.05855668612531854)	(205, 0.06162910484177044)	(210, 0.15741627658997667)	(215, 0.2177802678426199)	(220, 0.22464802732645356)	(225, 0.22826263758110282)	(230, 0.23133505629755474)	(235, 0.2344074750140066)	(240, 0.23747989373045852)	(245, 0.2419981565487701)	(250, 0.24579349731615188)	(255, 0.25013102962173106)	(260, 0.2541071009018453)	(265, 0.25663732808009976)	(270, 0.2598904773092841)	(275, 0.2714572301241619)	(280, 0.2768791455061358)	(285, 0.28808443729554856)
NGS001-23_16S_45_S30_L001_R2_001 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0009036525636623231)	(9, 0.0009036525636623231)	(10, 0.00271095769098697)	(15, 0.012470405378540059)	(20, 0.016627207171386747)	(25, 0.018976703836908786)	(30, 0.018976703836908786)	(35, 0.019338164862373712)	(40, 0.02024181742603604)	(45, 0.021687661527895755)	(50, 0.021687661527895755)	(55, 0.021687661527895755)	(60, 0.02259131409155808)	(65, 0.02259131409155808)	(70, 0.02259131409155808)	(75, 0.02259131409155808)	(80, 0.02259131409155808)	(85, 0.02259131409155808)	(90, 0.022772044604290543)	(95, 0.024398619218882724)	(100, 0.024398619218882724)	(105, 0.024398619218882724)	(110, 0.024398619218882724)	(115, 0.024940810757080118)	(120, 0.025844463320742438)	(125, 0.02620592434620737)	(130, 0.02620592434620737)	(135, 0.02620592434620737)	(140, 0.02692884639713723)	(145, 0.02783249896079955)	(150, 0.028013229473532013)	(155, 0.028013229473532013)	(160, 0.03162783972818131)	(165, 0.03506171947009814)	(170, 0.035242449982830604)	(175, 0.03542318049556307)	(180, 0.03668829408469032)	(185, 0.03903779075021236)	(190, 0.04952016048869531)	(195, 0.05674938099799389)	(200, 0.05855668612531854)	(205, 0.06108691330357304)	(210, 0.1480182899278885)	(215, 0.20332182682402272)	(220, 0.20964739476965896)	(225, 0.2121776219479135)	(230, 0.21380419656250566)	(235, 0.21488857963890046)	(240, 0.21633442374076015)	(245, 0.21741880681715492)	(250, 0.21904538143174715)	(255, 0.21958757296994452)	(260, 0.21994903399540947)	(265, 0.22193706963546656)	(270, 0.22229853066093147)	(275, 0.2232021832245938)	(280, 0.22446729681372107)	(285, 0.2273589850174405)
