Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
NGS001-23_16S_41_S6_L001_R1_001	4.714434249648857	61.23839404607723
NGS001-23_16S_41_S6_L001_R2_001	2.9952025683588404	55.73867678444393
NGS001-23_16S_42_S12_L001_R1_001	4.003285673021375	62.96125794338537
NGS001-23_16S_42_S12_L001_R2_001	2.3099003466204504	56.58578856152517
NGS001-23_16S_43_S18_L001_R1_001	4.020912055489415	64.39981365495106
NGS001-23_16S_43_S18_L001_R2_001	3.992960298152078	57.991614472798794
NGS001-23_16S_44_S24_L001_R1_001	3.620109006651094	60.78105798365843
NGS001-23_16S_44_S24_L001_R2_001	2.9625043386898566	55.48457302601336
NGS001-23_16S_45_S30_L001_R1_001	3.7212412571614464	60.244709114239754
NGS001-23_16S_45_S30_L001_R2_001	3.1889898971643382	54.68905315284378
NGS001-23_16S_46_S36_L001_R1_001	4.223809718753838	63.619150939534165
NGS001-23_16S_46_S36_L001_R2_001	2.5023539525934417	59.37998935604051
NGS001-23_16S_47_S42_L001_R1_001	3.9333753288620446	64.78211731574463
NGS001-23_16S_47_S42_L001_R2_001	2.1723422388557454	58.29566087375406
NGS001-23_16S_48_S48_L001_R1_001	4.204971376358923	63.955656665485634
NGS001-23_16S_48_S48_L001_R2_001	2.9611949204691665	56.31678072612672
NGS069-23_16S_29_S42_L001_R1_001	5.350690491511162	62.05514032569418
NGS069-23_16S_29_S42_L001_R2_001	3.47968123546008	53.60590011384446
NGS069-23_16S_30_S50_L001_R1_001	3.22309921071036	60.383654710760325
NGS069-23_16S_30_S50_L001_R2_001	2.543710660405635	54.82066140473577
NGS069-23_16S_31_S59_L001_R1_001	3.7625041304935563	62.06104118477573
NGS069-23_16S_31_S59_L001_R2_001	3.350956772507435	55.997476643936466
NGS069-23_16S_32_S68_L001_R1_001	3.2543723710427277	59.73728876097707
NGS069-23_16S_32_S68_L001_R2_001	2.6258824686984967	54.17558359776639
NGS069-23_16S_33_S5_L001_R1_001	2.825307841414606	56.736253468881195
NGS069-23_16S_33_S5_L001_R2_001	2.5561644981801446	58.01642750561298
NGS069-23_16S_34_S14_L001_R1_001	2.472253605369841	59.56137436033762
NGS069-23_16S_34_S14_L001_R2_001	2.001727919186549	60.182096098890106
NGS069-23_16S_35_S23_L001_R1_001	2.8805947034226422	63.549894171699904
NGS069-23_16S_35_S23_L001_R2_001	1.8700634969800216	63.33565639357796
NGS069-23_16S_36_S32_L001_R1_001	3.0132225800983217	60.12035938294626
NGS069-23_16S_36_S32_L001_R2_001	1.909221902017291	60.54098152229186
