Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67
NGS001-23_16S_41_S6_L001_R1_001	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0018241184947374181)	(7, 0.0009120592473687091)	(8, 0.0009120592473687091)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.002188942193684902)	(35, 0.002736177742106127)	(40, 0.009303004323160833)	(45, 0.03137483810948359)	(50, 0.02936830776527243)	(55, 0.010032651721055798)	(60, 0.006931650280002188)	(65, 0.009303004323160833)	(70, 0.00401306068842232)	(75, 0.06329691176738841)	(80, 0.04414366757264552)	(85, 0.029550719614746174)	(90, 0.018606008646321667)	(95, 0.009485416172634575)	(100, 0.04140748983053939)	(105, 0.14082194779372867)	(110, 0.06639791320844202)	(115, 0.019518067893690375)	(120, 0.0018241184947374181)	(125, 0.0)	(130, 0.0014592947957899345)	(135, 0.0001824118494737418)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 0.0)	(160, 0.0003648236989474836)	(165, 0.0)	(170, 0.0)	(175, 0.007661297677897157)	(180, 0.0014592947957899345)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)	(255, 0.0)	(260, 0.0)	(265, 0.0)	(270, 0.0)	(275, 0.0)	(280, 0.0)	(285, 0.0)	(290, 0.0)	(295, 0.0)	(300, 0.0)
NGS001-23_16S_41_S6_L001_R2_001	(1, 0.005472355484212254)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0023713540431586438)	(15, 0.04505572682001423)	(20, 0.0881049232958173)	(25, 0.0654858539610733)	(30, 0.05381149559475384)	(35, 0.07278232794002298)	(40, 0.0689516791010744)	(45, 0.15596213130004924)	(50, 0.1068933437916127)	(55, 0.06274967621896718)	(60, 0.020247715291585342)	(65, 0.04086025428211817)	(70, 0.03119242626000985)	(75, 0.032834132905273525)	(80, 0.008573356925265866)	(85, 0.01623465460316302)	(90, 0.017146713850531733)	(95, 0.03338136845369475)	(100, 0.0746064464347604)	(105, 0.07953156637055142)	(110, 0.045785374217909194)	(115, 0.09303004323160832)	(120, 0.07424162273581292)	(125, 0.010397475420003284)	(130, 0.017146713850531733)	(135, 0.009850239871582058)	(140, 0.0)	(145, 0.0)	(150, 0.0005472355484212255)	(155, 0.0007296473978949672)	(160, 0.0)	(165, 0.0)	(170, 0.0)	(175, 0.0)	(180, 0.0001824118494737418)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)	(255, 0.0)	(260, 0.0)	(265, 0.0)	(270, 0.0)	(275, 0.0)	(280, 0.0)	(285, 0.0)	(290, 0.0003648236989474836)	(295, 0.0018241184947374181)	(300, 0.00045602962368435454)
NGS001-23_16S_42_S12_L001_R1_001	(1, 0.0009026574234546504)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.002707972270363951)	(7, 0.002707972270363951)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0018053148469093009)	(35, 0.002166377816291161)	(40, 0.0074017908723281334)	(45, 0.025635470826112075)	(50, 0.025635470826112075)	(55, 0.009568168688619295)	(60, 0.006679664933564413)	(65, 0.009748700173310225)	(70, 0.0030690352397458117)	(75, 0.04982668977469671)	(80, 0.03502310803004044)	(85, 0.02202484113229347)	(90, 0.014442518775274407)	(95, 0.009568168688619295)	(100, 0.03412045060658579)	(105, 0.11951184286539572)	(110, 0.05090987868284229)	(115, 0.01769208549971115)	(120, 0.0014442518775274408)	(125, 0.0)	(130, 0.0009026574234546504)	(135, 0.0005415944540727903)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 0.0001805314846909301)	(160, 0.0)	(165, 0.0)	(170, 0.0)	(175, 0.005054881571346042)	(180, 0.0016247833622183708)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)	(255, 0.0)	(260, 0.0)	(265, 0.0)	(270, 0.0)	(275, 0.0)	(280, 0.0)	(285, 0.0)	(290, 0.0)	(295, 0.0)	(300, 0.0)
NGS001-23_16S_42_S12_L001_R2_001	(1, 0.002707972270363951)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.001985846331600231)	(15, 0.03592576545349509)	(20, 0.07239312536106297)	(25, 0.05109041016753322)	(30, 0.046216060080878106)	(35, 0.05668688619295205)	(40, 0.05488157134604275)	(45, 0.13575967648757944)	(50, 0.0947790294627383)	(55, 0.05090987868284229)	(60, 0.015706239168110918)	(65, 0.031412478336221836)	(70, 0.02202484113229347)	(75, 0.024191218948584635)	(80, 0.007943385326400924)	(85, 0.01588677065280185)	(90, 0.011554015020219527)	(95, 0.023830155979202773)	(100, 0.05415944540727903)	(105, 0.05831166955517042)	(110, 0.029968226458694396)	(115, 0.07167099942229925)	(120, 0.05704794916233391)	(125, 0.006860196418255343)	(130, 0.012276140958983247)	(135, 0.007221259387637203)	(140, 0.0)	(145, 0.0)	(150, 0.0003610629693818602)	(155, 0.0007221259387637204)	(160, 0.0)	(165, 0.0)	(170, 0.0)	(175, 0.0)	(180, 0.0)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)	(255, 0.0)	(260, 0.0)	(265, 0.0)	(270, 0.0)	(275, 0.0)	(280, 0.0)	(285, 0.0)	(290, 0.0)	(295, 0.0007221259387637204)	(300, 0.0018053148469093009)
NGS001-23_16S_43_S18_L001_R1_001	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.002070500543506393)	(7, 0.0010352502717531965)	(8, 0.0010352502717531965)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0016564004348051142)	(35, 0.0018634504891557532)	(40, 0.010145452663181323)	(45, 0.03064340804389461)	(50, 0.030436357989543972)	(55, 0.00848905222837621)	(60, 0.00848905222837621)	(65, 0.00848905222837621)	(70, 0.0028987007609089497)	(75, 0.0637714167399969)	(80, 0.0443087116310368)	(85, 0.030436357989543972)	(90, 0.02236140586986904)	(95, 0.012630053315388995)	(100, 0.04306641130493297)	(105, 0.13623893576272064)	(110, 0.06894766809876288)	(115, 0.02256845592421968)	(120, 0.0008282002174025571)	(125, 0.0)	(130, 0.0008282002174025571)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 0.0)	(160, 0.00020705005435063927)	(165, 0.0)	(170, 0.0)	(175, 0.005797401521817899)	(180, 0.0014493503804544749)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)	(255, 0.0)	(260, 0.0)	(265, 0.0)	(270, 0.0)	(275, 0.0)	(280, 0.0)	(285, 0.0)	(290, 0.0)	(295, 0.0)	(300, 0.0)
NGS001-23_16S_43_S18_L001_R2_001	(1, 0.005176251358765982)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.002484600652207671)	(15, 0.04285936125058233)	(20, 0.08157772141415187)	(25, 0.06045861587038666)	(30, 0.055489414565971326)	(35, 0.06791241782700969)	(40, 0.06522076712045137)	(45, 0.1492830891868109)	(50, 0.10373207722967027)	(55, 0.055903514674672604)	(60, 0.025053056576427354)	(65, 0.03809721000051763)	(70, 0.03105750815259589)	(75, 0.03333505875045292)	(80, 0.013665303587142191)	(85, 0.019255655054609452)	(90, 0.016149904239349862)	(95, 0.03002225788084269)	(100, 0.06501371706610073)	(105, 0.06811946788136032)	(110, 0.03747605983746571)	(115, 0.08509757233811274)	(120, 0.06687716755525648)	(125, 0.010766602826233242)	(130, 0.015528754076297944)	(135, 0.00848905222837621)	(140, 0.0006211501630519178)	(145, 0.0)	(150, 0.0018634504891557532)	(155, 0.0018634504891557532)	(160, 0.0006211501630519178)	(165, 0.0)	(170, 0.0)	(175, 0.0)	(180, 0.0006211501630519178)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)	(255, 0.0)	(260, 0.0)	(265, 0.0)	(270, 0.0)	(275, 0.0)	(280, 0.0)	(285, 0.0)	(290, 0.0)	(295, 0.00041410010870127854)	(300, 0.0)
NGS001-23_16S_44_S24_L001_R1_001	(1, 0.0)	(2, 0.0)	(3, 0.0009380951040816518)	(4, 0.0)	(5, 0.0)	(6, 0.0018761902081633037)	(7, 0.006566665728571562)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.002439047270612295)	(35, 0.0022514282497959645)	(40, 0.014071426561224778)	(45, 0.03827428024653139)	(50, 0.03958761339224571)	(55, 0.014446664602857439)	(60, 0.009005712999183858)	(65, 0.012758093415510464)	(70, 0.003939999437142938)	(75, 0.07523522734734847)	(80, 0.04915618345387856)	(85, 0.031895233538776165)	(90, 0.02120094935224533)	(95, 0.008630474957551197)	(100, 0.04465332695428663)	(105, 0.15347235902775824)	(110, 0.07410951322245049)	(115, 0.023264758581224964)	(120, 0.0026266662914286253)	(125, 0.0)	(130, 0.0011257141248979822)	(135, 0.0003752380416326607)	(140, 0.0)	(145, 0.00018761902081633036)	(150, 0.0)	(155, 0.00018761902081633036)	(160, 0.0003752380416326607)	(165, 0.00018761902081633036)	(170, 0.0)	(175, 0.009380951040816517)	(180, 0.002063809228979634)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)	(255, 0.0)	(260, 0.0)	(265, 0.0)	(270, 0.0)	(275, 0.0)	(280, 0.0)	(285, 0.0)	(290, 0.0)	(295, 0.0)	(300, 0.0)
NGS001-23_16S_44_S24_L001_R2_001	(1, 0.006566665728571562)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0033771423746939465)	(15, 0.048218088349796906)	(20, 0.09906284299102243)	(25, 0.06791808553551158)	(30, 0.062101895890205344)	(35, 0.07955046482612407)	(40, 0.07467237028489948)	(45, 0.16885711873469733)	(50, 0.1236409347179617)	(55, 0.07016951378530756)	(60, 0.028705710184898547)	(65, 0.04540380303755195)	(70, 0.033583804726123136)	(75, 0.03658570905918442)	(80, 0.014634283623673767)	(85, 0.022139044456326983)	(90, 0.020262854248163677)	(95, 0.0377114231840824)	(100, 0.08461617838816499)	(105, 0.08799332076285894)	(110, 0.044465707933470294)	(115, 0.10056379515755308)	(120, 0.0821771311175527)	(125, 0.013133331457143124)	(130, 0.018011425998367716)	(135, 0.01088190320734716)	(140, 0.0003752380416326607)	(145, 0.0)	(150, 0.002439047270612295)	(155, 0.0016885711873469733)	(160, 0.0009380951040816518)	(165, 0.00018761902081633036)	(170, 0.0)	(175, 0.0)	(180, 0.0007504760832653214)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)	(255, 0.0)	(260, 0.0)	(265, 0.0)	(270, 0.0)	(275, 0.0)	(280, 0.0)	(285, 0.0)	(290, 0.00018761902081633036)	(295, 0.0005628570624489911)	(300, 0.0004690475520408259)
NGS001-23_16S_45_S30_L001_R1_001	(1, 0.0)	(2, 0.0)	(3, 0.0009036525636623232)	(4, 0.0)	(5, 0.0)	(6, 0.003614610254649293)	(7, 0.006325567945636263)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.001988035640057111)	(35, 0.002891688203719434)	(40, 0.01012090871301802)	(45, 0.027290307422602154)	(50, 0.027651768448067087)	(55, 0.00975944768755309)	(60, 0.009578717174820625)	(65, 0.010482369738482948)	(70, 0.004156801792846687)	(75, 0.054219153819739394)	(80, 0.04012217382660715)	(85, 0.028193959986264477)	(90, 0.02024181742603604)	(95, 0.011386022302145271)	(100, 0.03741121613562017)	(105, 0.12831866404004988)	(110, 0.05476134535793678)	(115, 0.019338164862373716)	(120, 0.001988035640057111)	(125, 0.0)	(130, 0.001445844101859717)	(135, 0.00036146102546492925)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 0.0)	(160, 0.00018073051273246463)	(165, 0.0)	(170, 0.0)	(175, 0.006144837432903796)	(180, 0.0012651135891272524)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)	(255, 0.0)	(260, 0.0)	(265, 0.0)	(270, 0.0)	(275, 0.0)	(280, 0.0)	(285, 0.0)	(290, 0.0)	(295, 0.0)	(300, 0.0)
NGS001-23_16S_45_S30_L001_R2_001	(1, 0.0018073051273246464)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.002530227178254505)	(15, 0.04066436536480454)	(20, 0.07500316278397282)	(25, 0.05584572843433157)	(30, 0.049881621514160236)	(35, 0.061990565867235364)	(40, 0.06000253022717826)	(45, 0.14928340351701577)	(50, 0.10337785328296976)	(55, 0.052231118179682276)	(60, 0.021326200502430826)	(65, 0.031989300753646234)	(70, 0.02801322947353202)	(75, 0.0265673853716723)	(80, 0.009578717174820625)	(85, 0.01716939870958414)	(90, 0.014639171531329634)	(95, 0.026748115884404764)	(100, 0.0628942184308977)	(105, 0.06958124740199888)	(110, 0.03433879741916828)	(115, 0.07843704252588965)	(120, 0.06343640996909508)	(125, 0.011566752814877736)	(130, 0.014458441018597171)	(135, 0.007952142560228444)	(140, 0.0005421915381973938)	(145, 0.0)	(150, 0.0012651135891272524)	(155, 0.0010843830763947876)	(160, 0.00036146102546492925)	(165, 0.0)	(170, 0.0)	(175, 0.0)	(180, 0.00018073051273246463)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)	(255, 0.0)	(260, 0.0)	(265, 0.0)	(270, 0.0)	(275, 0.0)	(280, 0.0)	(285, 0.0)	(290, 0.0)	(295, 0.00036146102546492925)	(300, 0.0)
