Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67
NGS001-23_16S_41_S6_L001_R1_001	(1, 33.93976760730377)	(2, 33.929817040914976)	(3, 33.90147023950676)	(4, 33.95886612794367)	(5, 33.95789022454899)	(6, 37.81533536418526)	(7, 37.88441473158096)	(8, 37.7357034712975)	(9, 36.422912752412394)	(10, 37.29245362178727)	(15, 37.57402637675344)	(20, 37.65337188303752)	(25, 37.36758359023002)	(30, 37.40475547691578)	(35, 37.563431896535995)	(40, 37.38632458364496)	(45, 37.624793418580474)	(50, 37.03395231754255)	(55, 37.35415442987177)	(60, 37.65737399901498)	(65, 37.065327155652035)	(70, 37.466622279783294)	(75, 37.190051257729706)	(80, 37.41967311796574)	(85, 37.11602670509476)	(90, 37.36182302402364)	(95, 37.03397785520147)	(100, 36.1353897229164)	(105, 36.88978493642948)	(110, 36.56232648072819)	(115, 35.67772751317926)	(120, 35.68813593331022)	(125, 35.58510424837198)	(130, 35.42957078491819)	(135, 35.3628408821437)	(140, 35.44465989310665)	(145, 35.484484048083765)	(150, 35.25321318472847)	(155, 35.5794111745499)	(160, 35.55253643676693)	(165, 35.073893216103315)	(170, 34.97085241057259)	(175, 34.900784370952735)	(180, 34.69751919884716)	(185, 34.44758577917221)	(190, 34.14973094252203)	(195, 34.04495357618431)	(200, 34.46934751281443)	(205, 33.86377483081301)	(210, 33.451042483719746)	(215, 33.17093632002336)	(220, 33.1492548475949)	(225, 33.13103555206946)	(230, 32.88229328177159)	(235, 32.60204848506959)	(240, 31.87593805293592)	(245, 31.709731672169426)	(250, 30.402973313146425)	(255, 30.446299775633424)	(260, 29.15209317597271)	(265, 28.498719468816695)	(270, 28.09100709582094)	(275, 27.23982962733259)	(280, 26.825524890096858)	(285, 26.07121358603455)	(290, 24.239256854125244)	(295, 23.708713814049357)	(300, 20.134542419875594)
NGS001-23_16S_41_S6_L001_R2_001	(1, 32.763922584411084)	(2, 33.54974371135149)	(3, 33.65607157840974)	(4, 33.75430035935134)	(5, 33.58980135349592)	(6, 37.701063461082434)	(7, 36.37752868426333)	(8, 36.236843545356706)	(9, 37.32310610897284)	(10, 37.27392787435472)	(15, 37.31817734080006)	(20, 37.31814268254866)	(25, 37.230205578154354)	(30, 37.31448714908521)	(35, 36.958900786195066)	(40, 36.960662884660984)	(45, 36.88689370861531)	(50, 37.13516900457854)	(55, 36.308400065668266)	(60, 35.96521406030536)	(65, 36.39315773152624)	(70, 36.20313565969245)	(75, 37.02634027106401)	(80, 36.637224786122104)	(85, 36.4889421936849)	(90, 36.865779537038726)	(95, 36.00927929078273)	(100, 36.50777256890608)	(105, 36.430159975191984)	(110, 36.781366629576254)	(115, 36.547602196238664)	(120, 36.33949581364805)	(125, 35.48063698217836)	(130, 36.603453056310535)	(135, 34.848153080024076)	(140, 35.61383411466409)	(145, 34.42522573466373)	(150, 35.257498039072615)	(155, 34.09751372649167)	(160, 34.44582550482479)	(165, 33.757206180113464)	(170, 33.24652231808978)	(175, 33.06593093887379)	(180, 32.93949034129257)	(185, 33.64808011528429)	(190, 32.15321500884697)	(195, 32.85980372484996)	(200, 31.830300432316086)	(205, 29.185317670235854)	(210, 29.18008974662994)	(215, 28.98507688659455)	(220, 28.120809543787963)	(225, 25.41035369657613)	(230, 28.24617755969428)	(235, 28.12056146367268)	(240, 25.944627058973754)	(245, 25.96802867514274)	(250, 22.011710840736214)	(255, 22.0123748198683)	(260, 20.147529231498876)	(265, 24.163129092865876)	(270, 19.474538954050452)	(275, 20.442029514237248)	(280, 16.02879371043943)	(285, 18.2300176939494)	(290, 16.01918790244614)	(295, 17.04712062895606)	(300, 19.03315335364185)
NGS001-23_16S_42_S12_L001_R1_001	(1, 33.90547371461583)	(2, 33.92857271808203)	(3, 33.922561019641826)	(4, 33.96387564991335)	(5, 33.95880271519353)	(6, 37.82122869728481)	(7, 37.884261265164646)	(8, 37.74938619295205)	(9, 36.44521772097054)	(10, 37.28842432120162)	(15, 37.57336980069324)	(20, 37.64764045349509)	(25, 37.35912767186598)	(30, 37.40518847487002)	(35, 37.560909517619876)	(40, 37.37857993934142)	(45, 37.593961221837084)	(50, 36.99619259098787)	(55, 37.32083694396302)	(60, 37.61926812536107)	(65, 37.058748555748124)	(70, 37.437893558636624)	(75, 37.174994584055455)	(80, 37.412472920277295)	(85, 37.13603950028885)	(90, 37.357205011554015)	(95, 37.046246750433276)	(100, 36.1429267764298)	(105, 36.8869728480647)	(110, 36.571643919699596)	(115, 35.64603191796649)	(120, 35.6826202339688)	(125, 35.57800765453496)	(130, 35.423729058347774)	(135, 35.36520075101098)	(140, 35.41975556036973)	(145, 35.43987759965337)	(150, 35.21431795205084)	(155, 35.526592287694974)	(160, 35.51530365395725)	(165, 35.04675043327556)	(170, 34.922118717504326)	(175, 34.83306434142114)	(180, 34.6547335355286)	(185, 34.394582250144424)	(190, 34.04113409878683)	(195, 33.93342359907568)	(200, 34.3714363084922)	(205, 33.78953097920277)	(210, 33.3954433853264)	(215, 33.08216890525708)	(220, 33.06252888503755)	(225, 33.11498411322935)	(230, 32.757833261120744)	(235, 32.47933997689197)	(240, 31.69992959272097)	(245, 31.583497616984403)	(250, 30.238630127094165)	(255, 30.221120378393994)	(260, 28.94111604563836)	(265, 28.312093804159446)	(270, 27.8984257654535)	(275, 27.042206455805893)	(280, 26.606881860196417)	(285, 25.825299682264593)	(290, 23.979307481224726)	(295, 23.374593804159446)	(300, 19.95632040727903)
NGS001-23_16S_42_S12_L001_R2_001	(1, 32.812870089543615)	(2, 33.59333477758521)	(3, 33.69499205661467)	(4, 33.78366912189486)	(5, 33.64030906990179)	(6, 37.74114493067591)	(7, 36.52588821490468)	(8, 36.35754260543039)	(9, 37.385073656845755)	(10, 37.35505668688619)	(15, 37.39403523974581)	(20, 37.375176920855)	(25, 37.28476675332179)	(30, 37.36106296938186)	(35, 37.02925151646447)	(40, 37.045836943963025)	(45, 36.9622346187175)	(50, 37.19844562391681)	(55, 36.424732813402656)	(60, 36.0990070768342)	(65, 36.50600628249566)	(70, 36.32698765164644)	(75, 37.09467251588677)	(80, 36.72163850375506)	(85, 36.55533290005777)	(90, 36.94695623916811)	(95, 36.167311164067016)	(100, 36.566693746389376)	(105, 36.51790691796649)	(110, 36.84311994511843)	(115, 36.636007004621604)	(120, 36.48057120161756)	(125, 35.69054556614673)	(130, 36.7007853119584)	(135, 34.99779571057193)	(140, 35.75177101386482)	(145, 34.6239799971115)	(150, 35.384151140958984)	(155, 34.25500613807048)	(160, 34.50270977758521)	(165, 33.901233030040444)	(170, 33.35135940207972)	(175, 33.17084235990757)	(180, 33.085151285384164)	(185, 33.72399443963027)	(190, 32.30840554592721)	(195, 32.94515634026574)	(200, 31.94640381282495)	(205, 29.31999386192952)	(210, 29.18327195262854)	(215, 29.169558781051414)	(220, 28.213648180242632)	(225, 25.50138106585789)	(230, 28.305887131715775)	(235, 28.23100989312536)	(240, 26.099404246100516)	(245, 25.99907748411323)	(250, 22.131941435586366)	(255, 22.05287406123628)	(260, 20.251940713460428)	(265, 24.166989818024266)	(270, 19.30986062969382)	(275, 20.545932625649915)	(280, 16.094670710571926)	(285, 18.292560297515887)	(290, 16.034405690352393)	(295, 17.064370306181395)	(300, 19.034183636626228)
NGS001-23_16S_43_S18_L001_R1_001	(1, 33.915751332884724)	(2, 33.924809772762565)	(3, 33.911330814224335)	(4, 33.95938713183912)	(5, 33.952626947564575)	(6, 37.83955691288369)	(7, 37.90029504632745)	(8, 37.80464827372017)	(9, 36.59761892437497)	(10, 37.354016253429265)	(15, 37.59146539675966)	(20, 37.68179512397122)	(25, 37.4038449195093)	(30, 37.43728971478855)	(35, 37.5742201977328)	(40, 37.40077022620219)	(45, 37.622994979036186)	(50, 37.10635954241938)	(55, 37.39836637507118)	(60, 37.6650282105699)	(65, 37.111827734354776)	(70, 37.48037269009784)	(75, 37.21783322118122)	(80, 37.44454681919354)	(85, 37.179040322998084)	(90, 37.37630105077902)	(95, 37.09871939541384)	(100, 36.23821936953258)	(105, 36.956823852166266)	(110, 36.65683938092034)	(115, 35.782920441016614)	(120, 35.77934054557689)	(125, 35.68300636678917)	(130, 35.548929033593865)	(135, 35.507448625705265)	(140, 35.567509705471295)	(145, 35.598999948237484)	(150, 35.409093638387084)	(155, 35.6970422899736)	(160, 35.66353123867695)	(165, 35.18802836585745)	(170, 35.146436150939486)	(175, 35.06557689321393)	(180, 34.82710078161396)	(185, 34.59436202702003)	(190, 34.267005538588954)	(195, 34.169518090998494)	(200, 34.6464247631865)	(205, 34.08697344583054)	(210, 33.62539883016719)	(215, 33.35661473161137)	(220, 33.29219938920234)	(225, 33.37593457218283)	(230, 33.087667063512605)	(235, 32.86588332729438)	(240, 32.14721672964439)	(245, 31.95654226409234)	(250, 30.619330193074177)	(255, 30.67840985558259)	(260, 29.427131839122108)	(265, 28.717883948444534)	(270, 28.376460479320876)	(275, 27.550720016564004)	(280, 27.0853398209017)	(285, 26.349185775661265)	(290, 24.554680884103735)	(295, 24.021999068274756)	(300, 20.297297996790725)
NGS001-23_16S_43_S18_L001_R2_001	(1, 32.77370464309747)	(2, 33.5645116206843)	(3, 33.66205290128889)	(4, 33.74819607640147)	(5, 33.587960039339514)	(6, 37.69483927739531)	(7, 36.43032248045965)	(8, 36.274403437030905)	(9, 37.32728402091205)	(10, 37.26498265955795)	(15, 37.310457062994985)	(20, 37.32788860707076)	(25, 37.196357989543976)	(30, 37.3130990216885)	(35, 36.938021636730674)	(40, 36.90639474092862)	(45, 36.88598788757182)	(50, 37.1055230601998)	(55, 36.3176396293804)	(60, 35.928992183860444)	(65, 36.37276670635126)	(70, 36.16294425177286)	(75, 36.990502614006935)	(80, 36.616936694445876)	(85, 36.47125213520369)	(90, 36.83919250478802)	(95, 36.034063874941765)	(100, 36.50204461928671)	(105, 36.382723743464986)	(110, 36.74724364615146)	(115, 36.53062166778819)	(120, 36.304436047414455)	(125, 35.45449350380454)	(130, 36.520859257725554)	(135, 34.817247269527414)	(140, 35.54326000310575)	(145, 34.30200527977639)	(150, 35.21269216833169)	(155, 34.03378642786894)	(160, 34.3635405559294)	(165, 33.715339303276565)	(170, 33.13239401625343)	(175, 32.858675914902435)	(180, 32.68696309332781)	(185, 33.35712200424452)	(190, 32.02188933174595)	(195, 32.703893576272066)	(200, 31.596231689010814)	(205, 28.832049277912933)	(210, 28.790241730938455)	(215, 28.78740307469331)	(220, 27.768638128267508)	(225, 24.99848232310161)	(230, 27.98456648894871)	(235, 27.90281070448781)	(240, 25.614356850768672)	(245, 25.49144986800559)	(250, 21.557765929913554)	(255, 21.602219576582637)	(260, 19.945506496195456)	(265, 23.972340183239297)	(270, 18.99701226771572)	(275, 20.175733733630103)	(280, 15.697083699984471)	(285, 17.797836326932035)	(290, 15.823937056783478)	(295, 16.762890418758737)	(300, 18.767808892799835)
NGS001-23_16S_44_S24_L001_R1_001	(1, 33.91440820270359)	(2, 33.95003705475661)	(3, 33.92075910655822)	(4, 33.94993386429516)	(5, 33.96016848188069)	(6, 37.82012964474338)	(7, 37.88781320650288)	(8, 37.74721151230312)	(9, 36.43508850927307)	(10, 37.33985684668712)	(15, 37.569296147243406)	(20, 37.670357132806124)	(25, 37.391838572594494)	(30, 37.416240302441864)	(35, 37.555697520614636)	(40, 37.35642173003499)	(45, 37.59286672482856)	(50, 37.06865918066774)	(55, 37.35076126417697)	(60, 37.6518729068753)	(65, 37.078372217375396)	(70, 37.43841124213172)	(75, 37.16143866265162)	(80, 37.42149363502472)	(85, 37.105496299214806)	(90, 37.34571994108764)	(95, 37.04091970844004)	(100, 36.11940637341814)	(105, 36.87507199879924)	(110, 36.56330547190875)	(115, 35.617067702323666)	(120, 35.606692370472516)	(125, 35.48118837887785)	(130, 35.35676132046267)	(135, 35.328190695972765)	(140, 35.352901997204484)	(145, 35.39057214420398)	(150, 35.235640109194264)	(155, 35.47278304674528)	(160, 35.47509076070131)	(165, 34.98691357329806)	(170, 34.86988433287367)	(175, 34.81834163547501)	(180, 34.629501214833155)	(185, 34.318224373586986)	(190, 34.031960900196054)	(195, 33.907680184617114)	(200, 34.31509113593936)	(205, 33.73121699077852)	(210, 33.34818713121136)	(215, 33.022568692014)	(220, 32.94478747455417)	(225, 33.03894970872147)	(230, 32.747401007514135)	(235, 32.47365922757249)	(240, 31.699301119147457)	(245, 31.53130704790852)	(250, 30.1565624443006)	(255, 30.173050403849942)	(260, 29.01430032176662)	(265, 28.25079784988602)	(270, 27.7442433793938)	(275, 27.110605165151647)	(280, 26.526882991397667)	(285, 25.772326194429592)	(290, 23.98028499329262)	(295, 23.350688092758844)	(300, 19.849018283473576)
NGS001-23_16S_44_S24_L001_R2_001	(1, 32.6838431880224)	(2, 33.53984558954587)	(3, 33.64718243135489)	(4, 33.741470370266136)	(5, 33.58616872578542)	(6, 37.6982523288211)	(7, 36.33368980947289)	(8, 36.20360416138988)	(9, 37.297929624105294)	(10, 37.24273398437134)	(15, 37.29933113819079)	(20, 37.3068490323549)	(25, 37.17952888863873)	(30, 37.28512087355416)	(35, 36.921830411167086)	(40, 36.88584508297451)	(45, 36.83889154682502)	(50, 37.0852447021079)	(55, 36.255096201652925)	(60, 35.85678664903047)	(65, 36.31744012607997)	(70, 36.12755466749219)	(75, 36.955303520670924)	(80, 36.56320040525709)	(85, 36.39059841086689)	(90, 36.75435041604518)	(95, 35.959404872465974)	(100, 36.391211925064965)	(105, 36.27264045628946)	(110, 36.64676216474827)	(115, 36.42267188247545)	(120, 36.246255593392064)	(125, 35.31266146961978)	(130, 36.458238820251594)	(135, 34.634747042655185)	(140, 35.41508456927364)	(145, 34.21686507378118)	(150, 35.095111586412635)	(155, 33.77105038508804)	(160, 34.194322648430095)	(165, 33.49075694893948)	(170, 32.882222159682556)	(175, 32.572273661103765)	(180, 32.51548138350266)	(185, 33.119171849642115)	(190, 31.719655906715822)	(195, 32.3276259627201)	(200, 31.261160048405706)	(205, 28.447283745626134)	(210, 28.317220611825626)	(215, 28.39720072420942)	(220, 27.34820214073303)	(225, 24.554352292235386)	(230, 27.543494779500747)	(235, 27.471126370791474)	(240, 25.291599358342946)	(245, 25.1924614677436)	(250, 21.086895749491084)	(255, 21.229889586206248)	(260, 19.48945487293502)	(265, 23.692910815298454)	(270, 18.720438278032624)	(275, 19.845203050685278)	(280, 15.4868075685513)	(285, 17.613838778975413)	(290, 15.655670315856621)	(295, 16.57800917457012)	(300, 18.466439647651477)
NGS001-23_16S_45_S30_L001_R1_001	(1, 33.90817986300627)	(2, 33.925566138331135)	(3, 33.897471580126876)	(4, 33.9408559397083)	(5, 33.933888778442466)	(6, 37.81462471309031)	(7, 37.88376317073612)	(8, 37.74157343984385)	(9, 36.4707849126168)	(10, 37.333232726681246)	(15, 37.56871012633063)	(20, 37.669836077424954)	(25, 37.37865211183604)	(30, 37.404192947895396)	(35, 37.55258534998463)	(40, 37.35451735916575)	(45, 37.586976559252506)	(50, 37.04947678516564)	(55, 37.33356527082468)	(60, 37.64154994487719)	(65, 37.057616887459105)	(70, 37.42468959534438)	(75, 37.1454591458676)	(80, 37.40399775894164)	(85, 37.090309229907284)	(90, 37.312351123240134)	(95, 37.00965462399016)	(100, 36.112392691258066)	(105, 36.849371961468265)	(110, 36.53004464043664)	(115, 35.56814986174116)	(120, 35.590442970486706)	(125, 35.45160940521588)	(130, 35.32416186224721)	(135, 35.28522708788925)	(140, 35.309927527064396)	(145, 35.368619761074264)	(150, 35.1811100468092)	(155, 35.418550179826866)	(160, 35.42110932388716)	(165, 34.94102763369539)	(170, 34.83742748188176)	(175, 34.790307422602154)	(180, 34.591821944298864)	(185, 34.27249462326725)	(190, 33.979221412951155)	(195, 33.85663913538523)	(200, 34.213435506316536)	(205, 33.653848656268636)	(210, 33.2538197393866)	(215, 32.90560083858958)	(220, 32.8391823751604)	(225, 32.98777900272903)	(230, 32.66428584337894)	(235, 32.37960456163814)	(240, 31.58098895736567)	(245, 31.4062966510636)	(250, 29.987504292349676)	(255, 30.05217328441561)	(260, 28.90556649979216)	(265, 28.14512298711391)	(270, 27.609161229690407)	(275, 27.016272975366434)	(280, 26.40784370425259)	(285, 25.657875332092317)	(290, 23.8676763477978)	(295, 23.254410728163236)	(300, 19.83159078997307)
NGS001-23_16S_45_S30_L001_R2_001	(1, 32.680694366629915)	(2, 33.57363864741284)	(3, 33.661518859229005)	(4, 33.77411396866133)	(5, 33.61772785599393)	(6, 37.708797961359814)	(7, 36.3402342267445)	(8, 36.276102004301386)	(9, 37.36963004464044)	(10, 37.294858216912765)	(15, 37.32210153440205)	(20, 37.3601163904502)	(25, 37.227541522835295)	(30, 37.32877952684752)	(35, 36.99318284505973)	(40, 36.94219515280765)	(45, 36.921797907140665)	(50, 37.13712204731525)	(55, 36.34815564511756)	(60, 35.979505159856146)	(65, 36.39215087383203)	(70, 36.209078093654554)	(75, 37.031092877410494)	(80, 36.633684552963075)	(85, 36.47119155627045)	(90, 36.82238528130704)	(95, 36.05651623863657)	(100, 36.48813865644936)	(105, 36.3444669353527)	(110, 36.72231841101733)	(115, 36.54497478809347)	(120, 36.32309555222208)	(125, 35.4267607670203)	(130, 36.50447669480039)	(135, 34.752091955684875)	(140, 35.50720572554265)	(145, 34.35563969564981)	(150, 35.225137807015955)	(155, 33.85689758001843)	(160, 34.23741844535613)	(165, 33.65877356274059)	(170, 33.134087582006465)	(175, 32.77999313224052)	(180, 32.68802479622635)	(185, 33.30458513310802)	(190, 31.899235509931138)	(195, 32.546080858831395)	(200, 31.545513365021414)	(205, 28.81493737687734)	(210, 28.666136523829316)	(215, 28.67888163958721)	(220, 27.7445663371347)	(225, 24.95712349315935)	(230, 27.85130577795449)	(235, 27.83646238094377)	(240, 25.561638141367407)	(245, 25.533102600712077)	(250, 21.4428006000253)	(255, 21.563796063689434)	(260, 19.839312501129566)	(265, 23.676224901050045)	(270, 18.409378106305688)	(275, 20.086121703927272)	(280, 15.665753375142325)	(285, 17.796081762483958)	(290, 15.833812871627117)	(295, 16.75036778659341)	(300, 18.833962877952686)
