Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28
NGS001-23_16S_41_S6_L001_R1_001	(17.0, 5.0)	(18.0, 29.0)	(19.0, 65.0)	(20.0, 242.0)	(21.0, 651.0)	(22.0, 1385.0)	(23.0, 1552.0)	(24.0, 1717.0)	(25.0, 1723.0)	(26.0, 1886.0)	(27.0, 1933.0)	(28.0, 2311.0)	(29.0, 2584.0)	(30.0, 3010.0)	(31.0, 3607.0)	(32.0, 4522.0)	(33.0, 6227.0)	(34.0, 9433.0)	(35.0, 16023.0)	(36.0, 30741.0)	(37.0, 19996.0)								
NGS001-23_16S_41_S6_L001_R2_001	(10.0, 1.0)	(11.0, 2.0)	(12.0, 24.0)	(13.0, 117.0)	(14.0, 153.0)	(15.0, 146.0)	(16.0, 173.0)	(17.0, 249.0)	(18.0, 303.0)	(19.0, 364.0)	(20.0, 454.0)	(21.0, 543.0)	(22.0, 650.0)	(23.0, 929.0)	(24.0, 1353.0)	(25.0, 1981.0)	(26.0, 2669.0)	(27.0, 3518.0)	(28.0, 5142.0)	(29.0, 6937.0)	(30.0, 9181.0)	(31.0, 12266.0)	(32.0, 15982.0)	(33.0, 18855.0)	(34.0, 17412.0)	(35.0, 9081.0)	(36.0, 1153.0)	(37.0, 4.0)	
NGS001-23_16S_42_S12_L001_R1_001	(15.0, 1.0)	(16.0, 2.0)	(17.0, 18.0)	(18.0, 51.0)	(19.0, 72.0)	(20.0, 255.0)	(21.0, 685.0)	(22.0, 1396.0)	(23.0, 1668.0)	(24.0, 1733.0)	(25.0, 1800.0)	(26.0, 1926.0)	(27.0, 2053.0)	(28.0, 2214.0)	(29.0, 2697.0)	(30.0, 3003.0)	(31.0, 3614.0)	(32.0, 4601.0)	(33.0, 6511.0)	(34.0, 10024.0)	(35.0, 16918.0)	(36.0, 31120.0)	(37.0, 18422.0)						
NGS001-23_16S_42_S12_L001_R2_001	(12.0, 28.0)	(13.0, 114.0)	(14.0, 133.0)	(15.0, 119.0)	(16.0, 170.0)	(17.0, 235.0)	(18.0, 261.0)	(19.0, 351.0)	(20.0, 417.0)	(21.0, 515.0)	(22.0, 642.0)	(23.0, 874.0)	(24.0, 1297.0)	(25.0, 1869.0)	(26.0, 2617.0)	(27.0, 3507.0)	(28.0, 5050.0)	(29.0, 6727.0)	(30.0, 9092.0)	(31.0, 12353.0)	(32.0, 16376.0)	(33.0, 19329.0)	(34.0, 18044.0)	(35.0, 9412.0)	(36.0, 1250.0)	(37.0, 2.0)			
NGS001-23_16S_43_S18_L001_R1_001	(14.0, 1.0)	(15.0, 0.0)	(16.0, 2.0)	(17.0, 1.0)	(18.0, 24.0)	(19.0, 47.0)	(20.0, 155.0)	(21.0, 545.0)	(22.0, 1060.0)	(23.0, 1293.0)	(24.0, 1437.0)	(25.0, 1482.0)	(26.0, 1610.0)	(27.0, 1776.0)	(28.0, 1782.0)	(29.0, 2159.0)	(30.0, 2525.0)	(31.0, 3088.0)	(32.0, 3932.0)	(33.0, 5383.0)	(34.0, 8159.0)	(35.0, 13531.0)	(36.0, 27409.0)	(37.0, 19194.0)					
NGS001-23_16S_43_S18_L001_R2_001	(9.0, 1.0)	(10.0, 0.0)	(11.0, 4.0)	(12.0, 33.0)	(13.0, 96.0)	(14.0, 135.0)	(15.0, 127.0)	(16.0, 171.0)	(17.0, 224.0)	(18.0, 307.0)	(19.0, 368.0)	(20.0, 429.0)	(21.0, 508.0)	(22.0, 621.0)	(23.0, 850.0)	(24.0, 1251.0)	(25.0, 1748.0)	(26.0, 2429.0)	(27.0, 3301.0)	(28.0, 4548.0)	(29.0, 6349.0)	(30.0, 8906.0)	(31.0, 11187.0)	(32.0, 14370.0)	(33.0, 16537.0)	(34.0, 14487.0)	(35.0, 6809.0)	(36.0, 799.0)	
NGS001-23_16S_44_S24_L001_R1_001	(14.0, 1.0)	(15.0, 0.0)	(16.0, 1.0)	(17.0, 5.0)	(18.0, 27.0)	(19.0, 63.0)	(20.0, 235.0)	(21.0, 773.0)	(22.0, 1358.0)	(23.0, 1667.0)	(24.0, 1741.0)	(25.0, 1738.0)	(26.0, 1872.0)	(27.0, 1964.0)	(28.0, 2207.0)	(29.0, 2508.0)	(30.0, 2920.0)	(31.0, 3476.0)	(32.0, 4523.0)	(33.0, 6205.0)	(34.0, 9562.0)	(35.0, 15843.0)	(36.0, 30023.0)	(37.0, 17887.0)					
NGS001-23_16S_44_S24_L001_R2_001	(11.0, 2.0)	(12.0, 36.0)	(13.0, 124.0)	(14.0, 125.0)	(15.0, 123.0)	(16.0, 206.0)	(17.0, 283.0)	(18.0, 344.0)	(19.0, 444.0)	(20.0, 507.0)	(21.0, 575.0)	(22.0, 712.0)	(23.0, 938.0)	(24.0, 1478.0)	(25.0, 2102.0)	(26.0, 2920.0)	(27.0, 3928.0)	(28.0, 5671.0)	(29.0, 7497.0)	(30.0, 10026.0)	(31.0, 13064.0)	(32.0, 16241.0)	(33.0, 17762.0)	(34.0, 14697.0)	(35.0, 6126.0)	(36.0, 667.0)	(37.0, 1.0)		
NGS001-23_16S_45_S30_L001_R1_001	(15.0, 1.0)	(16.0, 2.0)	(17.0, 9.0)	(18.0, 40.0)	(19.0, 84.0)	(20.0, 247.0)	(21.0, 762.0)	(22.0, 1435.0)	(23.0, 1707.0)	(24.0, 1780.0)	(25.0, 1808.0)	(26.0, 2036.0)	(27.0, 2164.0)	(28.0, 2293.0)	(29.0, 2616.0)	(30.0, 3116.0)	(31.0, 3680.0)	(32.0, 4864.0)	(33.0, 6654.0)	(34.0, 9979.0)	(35.0, 17031.0)	(36.0, 30945.0)	(37.0, 17409.0)						
NGS001-23_16S_45_S30_L001_R2_001	(11.0, 3.0)	(12.0, 24.0)	(13.0, 115.0)	(14.0, 140.0)	(15.0, 159.0)	(16.0, 182.0)	(17.0, 239.0)	(18.0, 304.0)	(19.0, 435.0)	(20.0, 524.0)	(21.0, 613.0)	(22.0, 659.0)	(23.0, 905.0)	(24.0, 1408.0)	(25.0, 2015.0)	(26.0, 2755.0)	(27.0, 3888.0)	(28.0, 5342.0)	(29.0, 7501.0)	(30.0, 10179.0)	(31.0, 13334.0)	(32.0, 17029.0)	(33.0, 18978.0)	(34.0, 15961.0)	(35.0, 7204.0)	(36.0, 766.0)			
NGS001-23_16S_46_S36_L001_R1_001	(14.0, 1.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 7.0)	(18.0, 30.0)	(19.0, 91.0)	(20.0, 367.0)	(21.0, 1017.0)	(22.0, 1672.0)	(23.0, 1823.0)	(24.0, 1701.0)	(25.0, 1691.0)	(26.0, 1901.0)	(27.0, 1952.0)	(28.0, 2279.0)	(29.0, 2699.0)	(30.0, 3391.0)	(31.0, 4287.0)	(32.0, 5736.0)	(33.0, 7774.0)	(34.0, 11224.0)	(35.0, 16666.0)	(36.0, 22759.0)	(37.0, 8640.0)					
NGS001-23_16S_46_S36_L001_R2_001	(11.0, 4.0)	(12.0, 43.0)	(13.0, 120.0)	(14.0, 154.0)	(15.0, 123.0)	(16.0, 160.0)	(17.0, 192.0)	(18.0, 281.0)	(19.0, 312.0)	(20.0, 376.0)	(21.0, 441.0)	(22.0, 565.0)	(23.0, 756.0)	(24.0, 1138.0)	(25.0, 1776.0)	(26.0, 2295.0)	(27.0, 3144.0)	(28.0, 4604.0)	(29.0, 6495.0)	(30.0, 8833.0)	(31.0, 11826.0)	(32.0, 14922.0)	(33.0, 17170.0)	(34.0, 14769.0)	(35.0, 6500.0)	(36.0, 709.0)			
NGS001-23_16S_47_S42_L001_R1_001	(16.0, 2.0)	(17.0, 9.0)	(18.0, 29.0)	(19.0, 80.0)	(20.0, 198.0)	(21.0, 576.0)	(22.0, 1248.0)	(23.0, 1530.0)	(24.0, 1637.0)	(25.0, 1648.0)	(26.0, 1803.0)	(27.0, 1991.0)	(28.0, 2307.0)	(29.0, 2719.0)	(30.0, 2945.0)	(31.0, 3783.0)	(32.0, 4833.0)	(33.0, 6557.0)	(34.0, 10090.0)	(35.0, 17025.0)	(36.0, 30449.0)	(37.0, 16489.0)							
NGS001-23_16S_47_S42_L001_R2_001	(9.0, 1.0)	(10.0, 1.0)	(11.0, 1.0)	(12.0, 40.0)	(13.0, 120.0)	(14.0, 173.0)	(15.0, 172.0)	(16.0, 209.0)	(17.0, 249.0)	(18.0, 305.0)	(19.0, 375.0)	(20.0, 440.0)	(21.0, 547.0)	(22.0, 642.0)	(23.0, 926.0)	(24.0, 1301.0)	(25.0, 1866.0)	(26.0, 2617.0)	(27.0, 3576.0)	(28.0, 4956.0)	(29.0, 6995.0)	(30.0, 9593.0)	(31.0, 12709.0)	(32.0, 16423.0)	(33.0, 18439.0)	(34.0, 16456.0)	(35.0, 7852.0)	(36.0, 962.0)	(37.0, 2.0)
NGS001-23_16S_48_S48_L001_R1_001	(15.0, 1.0)	(16.0, 1.0)	(17.0, 2.0)	(18.0, 22.0)	(19.0, 62.0)	(20.0, 169.0)	(21.0, 496.0)	(22.0, 1049.0)	(23.0, 1242.0)	(24.0, 1427.0)	(25.0, 1650.0)	(26.0, 1755.0)	(27.0, 1948.0)	(28.0, 2268.0)	(29.0, 2496.0)	(30.0, 2996.0)	(31.0, 3627.0)	(32.0, 4570.0)	(33.0, 6331.0)	(34.0, 9644.0)	(35.0, 16074.0)	(36.0, 30596.0)	(37.0, 18828.0)						
NGS001-23_16S_48_S48_L001_R2_001	(11.0, 2.0)	(12.0, 27.0)	(13.0, 106.0)	(14.0, 125.0)	(15.0, 148.0)	(16.0, 186.0)	(17.0, 258.0)	(18.0, 336.0)	(19.0, 385.0)	(20.0, 481.0)	(21.0, 590.0)	(22.0, 720.0)	(23.0, 947.0)	(24.0, 1413.0)	(25.0, 1910.0)	(26.0, 2623.0)	(27.0, 3607.0)	(28.0, 5084.0)	(29.0, 6999.0)	(30.0, 9332.0)	(31.0, 12169.0)	(32.0, 15866.0)	(33.0, 18001.0)	(34.0, 16447.0)	(35.0, 8491.0)	(36.0, 997.0)	(37.0, 4.0)		
NGS069-23_16S_29_S42_L001_R1_001	(15.0, 3.0)	(16.0, 4.0)	(17.0, 8.0)	(18.0, 25.0)	(19.0, 33.0)	(20.0, 78.0)	(21.0, 236.0)	(22.0, 434.0)	(23.0, 449.0)	(24.0, 396.0)	(25.0, 431.0)	(26.0, 430.0)	(27.0, 488.0)	(28.0, 609.0)	(29.0, 784.0)	(30.0, 1045.0)	(31.0, 1540.0)	(32.0, 2125.0)	(33.0, 3211.0)	(34.0, 4665.0)	(35.0, 7017.0)	(36.0, 9510.0)	(37.0, 6885.0)						
NGS069-23_16S_29_S42_L001_R2_001	(11.0, 2.0)	(12.0, 27.0)	(13.0, 68.0)	(14.0, 71.0)	(15.0, 81.0)	(16.0, 133.0)	(17.0, 214.0)	(18.0, 301.0)	(19.0, 393.0)	(20.0, 515.0)	(21.0, 734.0)	(22.0, 1111.0)	(23.0, 1535.0)	(24.0, 2082.0)	(25.0, 2613.0)	(26.0, 3404.0)	(27.0, 4008.0)	(28.0, 4523.0)	(29.0, 4679.0)	(30.0, 4546.0)	(31.0, 3878.0)	(32.0, 2807.0)	(33.0, 1584.0)	(34.0, 740.0)	(35.0, 289.0)	(36.0, 68.0)			
NGS069-23_16S_30_S50_L001_R1_001	(15.0, 3.0)	(16.0, 2.0)	(17.0, 9.0)	(18.0, 14.0)	(19.0, 46.0)	(20.0, 92.0)	(21.0, 235.0)	(22.0, 439.0)	(23.0, 480.0)	(24.0, 538.0)	(25.0, 507.0)	(26.0, 490.0)	(27.0, 564.0)	(28.0, 615.0)	(29.0, 664.0)	(30.0, 786.0)	(31.0, 940.0)	(32.0, 1277.0)	(33.0, 1603.0)	(34.0, 2361.0)	(35.0, 3999.0)	(36.0, 9436.0)	(37.0, 24945.0)						
NGS069-23_16S_30_S50_L001_R2_001	(11.0, 2.0)	(12.0, 21.0)	(13.0, 55.0)	(14.0, 52.0)	(15.0, 89.0)	(16.0, 84.0)	(17.0, 107.0)	(18.0, 110.0)	(19.0, 161.0)	(20.0, 194.0)	(21.0, 188.0)	(22.0, 211.0)	(23.0, 265.0)	(24.0, 417.0)	(25.0, 632.0)	(26.0, 791.0)	(27.0, 929.0)	(28.0, 1175.0)	(29.0, 1622.0)	(30.0, 2193.0)	(31.0, 3258.0)	(32.0, 4892.0)	(33.0, 6965.0)	(34.0, 9344.0)	(35.0, 10415.0)	(36.0, 5628.0)	(37.0, 245.0)		
NGS069-23_16S_31_S59_L001_R1_001	(13.0, 1.0)	(14.0, 2.0)	(15.0, 1.0)	(16.0, 3.0)	(17.0, 5.0)	(18.0, 14.0)	(19.0, 30.0)	(20.0, 116.0)	(21.0, 177.0)	(22.0, 374.0)	(23.0, 531.0)	(24.0, 610.0)	(25.0, 640.0)	(26.0, 688.0)	(27.0, 722.0)	(28.0, 797.0)	(29.0, 869.0)	(30.0, 1056.0)	(31.0, 1252.0)	(32.0, 1460.0)	(33.0, 1921.0)	(34.0, 2793.0)	(35.0, 4941.0)	(36.0, 11396.0)	(37.0, 36179.0)				
NGS069-23_16S_31_S59_L001_R2_001	(11.0, 3.0)	(12.0, 22.0)	(13.0, 65.0)	(14.0, 92.0)	(15.0, 70.0)	(16.0, 103.0)	(17.0, 150.0)	(18.0, 159.0)	(19.0, 217.0)	(20.0, 223.0)	(21.0, 242.0)	(22.0, 285.0)	(23.0, 357.0)	(24.0, 521.0)	(25.0, 805.0)	(26.0, 981.0)	(27.0, 1225.0)	(28.0, 1472.0)	(29.0, 1994.0)	(30.0, 2867.0)	(31.0, 4237.0)	(32.0, 5956.0)	(33.0, 8878.0)	(34.0, 12532.0)	(35.0, 14110.0)	(36.0, 8556.0)	(37.0, 456.0)		
NGS069-23_16S_32_S68_L001_R1_001	(14.0, 2.0)	(15.0, 0.0)	(16.0, 3.0)	(17.0, 7.0)	(18.0, 19.0)	(19.0, 34.0)	(20.0, 116.0)	(21.0, 240.0)	(22.0, 492.0)	(23.0, 656.0)	(24.0, 705.0)	(25.0, 798.0)	(26.0, 839.0)	(27.0, 907.0)	(28.0, 981.0)	(29.0, 1119.0)	(30.0, 1310.0)	(31.0, 1511.0)	(32.0, 1877.0)	(33.0, 2484.0)	(34.0, 3606.0)	(35.0, 6406.0)	(36.0, 14707.0)	(37.0, 42487.0)					
NGS069-23_16S_32_S68_L001_R2_001	(11.0, 1.0)	(12.0, 24.0)	(13.0, 65.0)	(14.0, 75.0)	(15.0, 95.0)	(16.0, 124.0)	(17.0, 178.0)	(18.0, 167.0)	(19.0, 279.0)	(20.0, 279.0)	(21.0, 348.0)	(22.0, 385.0)	(23.0, 444.0)	(24.0, 702.0)	(25.0, 951.0)	(26.0, 1202.0)	(27.0, 1528.0)	(28.0, 1983.0)	(29.0, 2705.0)	(30.0, 3666.0)	(31.0, 5223.0)	(32.0, 7436.0)	(33.0, 10962.0)	(34.0, 14977.0)	(35.0, 17089.0)	(36.0, 9874.0)	(37.0, 544.0)		
NGS069-23_16S_33_S5_L001_R1_001	(16.0, 2.0)	(17.0, 8.0)	(18.0, 15.0)	(19.0, 28.0)	(20.0, 86.0)	(21.0, 237.0)	(22.0, 468.0)	(23.0, 571.0)	(24.0, 680.0)	(25.0, 706.0)	(26.0, 741.0)	(27.0, 772.0)	(28.0, 812.0)	(29.0, 896.0)	(30.0, 950.0)	(31.0, 1258.0)	(32.0, 1503.0)	(33.0, 1944.0)	(34.0, 2694.0)	(35.0, 4495.0)	(36.0, 10733.0)	(37.0, 42110.0)							
NGS069-23_16S_33_S5_L001_R2_001	(11.0, 1.0)	(12.0, 20.0)	(13.0, 60.0)	(14.0, 42.0)	(15.0, 52.0)	(16.0, 62.0)	(17.0, 98.0)	(18.0, 121.0)	(19.0, 145.0)	(20.0, 200.0)	(21.0, 229.0)	(22.0, 256.0)	(23.0, 298.0)	(24.0, 440.0)	(25.0, 626.0)	(26.0, 874.0)	(27.0, 1117.0)	(28.0, 1454.0)	(29.0, 1920.0)	(30.0, 2719.0)	(31.0, 3955.0)	(32.0, 5871.0)	(33.0, 8915.0)	(34.0, 12939.0)	(35.0, 16210.0)	(36.0, 12057.0)	(37.0, 1028.0)		
NGS069-23_16S_34_S14_L001_R1_001	(15.0, 1.0)	(16.0, 5.0)	(17.0, 9.0)	(18.0, 16.0)	(19.0, 32.0)	(20.0, 90.0)	(21.0, 269.0)	(22.0, 467.0)	(23.0, 620.0)	(24.0, 667.0)	(25.0, 733.0)	(26.0, 756.0)	(27.0, 755.0)	(28.0, 842.0)	(29.0, 992.0)	(30.0, 1097.0)	(31.0, 1261.0)	(32.0, 1607.0)	(33.0, 2036.0)	(34.0, 2931.0)	(35.0, 5170.0)	(36.0, 12077.0)	(37.0, 42802.0)						
NGS069-23_16S_34_S14_L001_R2_001	(12.0, 20.0)	(13.0, 51.0)	(14.0, 45.0)	(15.0, 32.0)	(16.0, 51.0)	(17.0, 70.0)	(18.0, 90.0)	(19.0, 107.0)	(20.0, 142.0)	(21.0, 186.0)	(22.0, 199.0)	(23.0, 257.0)	(24.0, 374.0)	(25.0, 653.0)	(26.0, 787.0)	(27.0, 1050.0)	(28.0, 1385.0)	(29.0, 1943.0)	(30.0, 2632.0)	(31.0, 3993.0)	(32.0, 5950.0)	(33.0, 8910.0)	(34.0, 13448.0)	(35.0, 17626.0)	(36.0, 13903.0)	(37.0, 1331.0)			
