Sample	Unique Reads	Duplicate Reads
NGS001-23_16S_41_S6_L001_R1_001	10385.0	99257.0
NGS001-23_16S_41_S6_L001_R2_001	13195.0	96447.0
NGS001-23_16S_42_S12_L001_R1_001	10540.0	100244.0
NGS001-23_16S_42_S12_L001_R2_001	13325.0	97459.0
NGS001-23_16S_43_S18_L001_R1_001	8964.0	87631.0
NGS001-23_16S_43_S18_L001_R2_001	11872.0	84723.0
NGS001-23_16S_44_S24_L001_R1_001	10518.0	96081.0
NGS001-23_16S_44_S24_L001_R2_001	13649.0	92950.0
NGS001-23_16S_45_S30_L001_R1_001	11076.0	99586.0
NGS001-23_16S_45_S30_L001_R2_001	13870.0	96792.0
NGS001-23_16S_46_S36_L001_R1_001	9887.0	87821.0
NGS001-23_16S_46_S36_L001_R2_001	11817.0	85891.0
NGS001-23_16S_47_S42_L001_R1_001	10319.0	97629.0
NGS001-23_16S_47_S42_L001_R2_001	13048.0	94900.0
NGS001-23_16S_48_S48_L001_R1_001	9833.0	97421.0
NGS001-23_16S_48_S48_L001_R2_001	13221.0	94033.0
NGS069-23_16S_29_S42_L001_R1_001	5592.0	34814.0
NGS069-23_16S_29_S42_L001_R2_001	8508.0	31898.0
NGS069-23_16S_30_S50_L001_R1_001	7063.0	42982.0
NGS069-23_16S_30_S50_L001_R2_001	7964.0	42081.0
NGS069-23_16S_31_S59_L001_R1_001	8423.0	58155.0
NGS069-23_16S_31_S59_L001_R2_001	9664.0	56914.0
NGS069-23_16S_32_S68_L001_R1_001	10303.0	71003.0
NGS069-23_16S_32_S68_L001_R2_001	11962.0	69344.0
NGS069-23_16S_33_S5_L001_R1_001	7958.0	63751.0
NGS069-23_16S_33_S5_L001_R2_001	8562.0	63147.0
NGS069-23_16S_34_S14_L001_R1_001	7635.0	67600.0
NGS069-23_16S_34_S14_L001_R2_001	8418.0	66817.0
NGS069-23_16S_35_S23_L001_R1_001	7107.0	70377.0
NGS069-23_16S_35_S23_L001_R2_001	8287.0	69197.0
NGS069-23_16S_36_S32_L001_R1_001	8367.0	86017.0
NGS069-23_16S_36_S32_L001_R2_001	9673.0	84711.0
