Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
NGS001-23_16S_41_S6_L001_R1_001	(1.0, 6.455555352875724)	(2.0, 2.216303971105963)	(3.0, 1.2641141168530308)	(4.0, 0.9667828022108317)	(5.0, 0.8026121376844639)	(6.0, 0.6347932361686215)	(7.0, 0.5809817405738678)	(8.0, 0.5107531785264771)	(9.0, 0.42684372776855584)	('>10', 11.307710548877255)	('>50', 7.445139636270773)	('>100', 22.2688385837544)	('>500', 17.707630287663488)	('>1k', 22.697506430017693)	('>5k', 4.714434249648857)	('>10k+', 0.0)
NGS001-23_16S_41_S6_L001_R2_001	(1.0, 8.587037813976396)	(2.0, 2.416957005527079)	(3.0, 1.3817697597635943)	(4.0, 1.138249940716149)	(5.0, 0.8938180624213348)	(6.0, 0.8208533226318381)	(7.0, 0.7661297677897156)	(8.0, 0.6493861841265208)	(9.0, 0.5417631929370132)	('>10', 13.337042374272635)	('>50', 8.911730906039656)	('>100', 32.34070885244705)	('>500', 13.54955217890954)	('>1k', 14.665000638441473)	('>5k', 0.0)	('>10k+', 0.0)
NGS001-23_16S_42_S12_L001_R1_001	(1.0, 6.483788272674755)	(2.0, 2.3089976891969957)	(3.0, 1.288994800693241)	(4.0, 0.9134893125361063)	(5.0, 0.7717720970537262)	(6.0, 0.6824090121317158)	(7.0, 0.6129043905257077)	(8.0, 0.49826689774696703)	(9.0, 0.36557625649913345)	('>10', 10.501516464471404)	('>50', 7.651826978625071)	('>100', 21.724256210283073)	('>500', 19.59037406123628)	('>1k', 26.605827556325824)	('>5k', 0.0)	('>10k+', 0.0)
NGS001-23_16S_42_S12_L001_R2_001	(1.0, 8.581564124783363)	(2.0, 2.4660600808781052)	(3.0, 1.2754549393414212)	(4.0, 1.1554015020219526)	(5.0, 0.9161972848064702)	(6.0, 0.7636481802426343)	(7.0, 0.6634532062391681)	(8.0, 0.6643558636626228)	(9.0, 0.6905329289428076)	('>10', 13.104780473714616)	('>50', 9.50317735413056)	('>100', 35.128718948584634)	('>500', 10.543038705950318)	('>1k', 14.543616406701329)	('>5k', 0.0)	('>10k+', 0.0)
NGS001-23_16S_43_S18_L001_R1_001	(1.0, 6.204254878616906)	(2.0, 2.2713390962265128)	(3.0, 1.2888865883327294)	(4.0, 1.002122263057094)	(5.0, 0.8644339769139189)	(6.0, 0.7081111858791863)	(7.0, 0.5724934002795176)	(8.0, 0.5548941456597133)	(9.0, 0.43791086495160203)	('>10', 11.396034991459185)	('>50', 6.890625808789275)	('>100', 23.897717273150786)	('>500', 17.704850147523164)	('>1k', 26.20632537916041)	('>5k', 0.0)	('>10k+', 0.0)
NGS001-23_16S_43_S18_L001_R2_001	(1.0, 8.807909312076195)	(2.0, 2.5653501734044206)	(3.0, 1.3944821160515555)	(4.0, 1.002122263057094)	(5.0, 0.9576065013717066)	(6.0, 0.869610228272685)	(7.0, 0.7681557016408717)	(8.0, 0.6542781717480202)	(9.0, 0.5310833894093897)	('>10', 13.119726693928257)	('>50', 7.649464257984367)	('>100', 33.20565246648377)	('>500', 10.128888658833272)	('>1k', 18.345670065738393)	('>5k', 0.0)	('>10k+', 0.0)
NGS001-23_16S_44_S24_L001_R1_001	(1.0, 6.582613345340952)	(2.0, 2.4259139391551514)	(3.0, 1.2945712436326795)	(4.0, 1.0656760382367565)	(5.0, 0.7317141811836885)	(6.0, 0.7823713168040977)	(7.0, 0.6435332414000131)	(8.0, 0.6078856274449104)	(9.0, 0.6247713393183801)	('>10', 12.582669631047198)	('>50', 7.677370331804238)	('>100', 24.782596459629076)	('>500', 15.516093021510521)	('>1k', 24.68222028349234)	('>5k', 0.0)	('>10k+', 0.0)
NGS001-23_16S_44_S24_L001_R2_001	(1.0, 9.03573204251447)	(2.0, 2.649180573926585)	(3.0, 1.649171192975544)	(4.0, 1.1632379290612482)	(5.0, 1.0084522368877757)	(6.0, 1.0187712830326738)	(7.0, 0.8405332132571599)	(8.0, 0.8405332132571599)	(9.0, 0.7176427546224636)	('>10', 13.855664687285998)	('>50', 7.513203688589949)	('>100', 28.499329262000582)	('>500', 13.937278961341102)	('>1k', 17.27126896124729)	('>5k', 0.0)	('>10k+', 0.0)
NGS001-23_16S_45_S30_L001_R1_001	(1.0, 6.71413854801106)	(2.0, 2.4037158193417794)	(3.0, 1.3717445916394064)	(4.0, 1.1169145686866313)	(5.0, 0.7455133650214165)	(6.0, 0.6885832535106902)	(7.0, 0.7084636099112613)	(8.0, 0.6867759483833655)	(9.0, 0.5855668612531854)	('>10', 12.602338652834758)	('>50', 7.06385209014838)	('>100', 25.513726482442028)	('>500', 15.075635719578537)	('>1k', 24.723030489237498)	('>5k', 0.0)	('>10k+', 0.0)
NGS001-23_16S_45_S30_L001_R2_001	(1.0, 8.843143987999493)	(2.0, 2.6079412987294646)	(3.0, 1.6563951491930382)	(4.0, 1.087997686649437)	(5.0, 0.9669082431186857)	(6.0, 0.8675064611158303)	(7.0, 0.9045562162259855)	(8.0, 0.7229220509298585)	(9.0, 0.7400914496394426)	('>10', 14.140355316188034)	('>50', 7.858162693607563)	('>100', 27.603874862192985)	('>500', 12.677341815618732)	('>1k', 19.322802768791455)	('>5k', 0.0)	('>10k+', 0.0)
