Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	kmer_content
NGS001-23_16S_41_S6_L001_R1_001	NGS001-23_16S_41_S6_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	109642.0	0.0	301.0	57.0	9.470823224676675	301.0	301	pass	warn	pass	pass	fail	warn	pass	pass	fail	fail	pass	fail
NGS001-23_16S_41_S6_L001_R2_001	NGS001-23_16S_41_S6_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	109642.0	0.0	301.0	56.0	12.033709709782748	301.0	301	pass	fail	pass	pass	fail	warn	pass	pass	fail	fail	pass	fail
NGS001-23_16S_42_S12_L001_R1_001	NGS001-23_16S_42_S12_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	110784.0	0.0	301.0	58.0	9.514009243212017	301.0	301	pass	warn	pass	pass	fail	warn	pass	pass	fail	fail	pass	fail
NGS001-23_16S_42_S12_L001_R2_001	NGS001-23_16S_42_S12_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	110784.0	0.0	301.0	57.0	12.027910167533218	301.0	301	pass	fail	pass	pass	fail	fail	pass	pass	fail	fail	pass	warn
NGS001-23_16S_43_S18_L001_R1_001	NGS001-23_16S_43_S18_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	96595.0	0.0	301.0	57.0	9.279983435995652	301.0	301	pass	warn	pass	pass	fail	warn	pass	pass	fail	fail	pass	warn
NGS001-23_16S_43_S18_L001_R2_001	NGS001-23_16S_43_S18_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	96595.0	0.0	301.0	57.0	12.290491226253947	301.0	301	pass	fail	pass	pass	fail	warn	pass	pass	fail	fail	pass	fail
NGS001-23_16S_44_S24_L001_R1_001	NGS001-23_16S_44_S24_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	106599.0	0.0	301.0	58.0	9.866884304730814	301.0	301	pass	warn	pass	pass	fail	warn	pass	pass	fail	fail	pass	warn
NGS001-23_16S_44_S24_L001_R2_001	NGS001-23_16S_44_S24_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	106599.0	0.0	301.0	57.0	12.803121980506385	301.0	301	pass	fail	pass	pass	fail	fail	pass	pass	fail	fail	pass	warn
NGS001-23_16S_45_S30_L001_R1_001	NGS001-23_16S_45_S30_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	110662.0	0.0	301.0	58.0	10.00885579512389	301.0	301	pass	warn	pass	pass	fail	warn	pass	pass	fail	fail	pass	fail
NGS001-23_16S_45_S30_L001_R2_001	NGS001-23_16S_45_S30_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	110662.0	0.0	301.0	57.0	12.53366105799642	301.0	301	pass	fail	pass	pass	fail	warn	pass	pass	fail	fail	pass	warn
