Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
NGS001-23_16S_41_S6_L001_R1_001	90.52917677532332	57.0	301.0	301	33.33333333333333	0.10964199999999999
NGS001-23_16S_41_S6_L001_R2_001	87.96629029021724	56.0	301.0	301	41.66666666666667	0.10964199999999999
NGS001-23_16S_42_S12_L001_R1_001	90.48599075678798	58.0	301.0	301	33.33333333333333	0.110784
NGS001-23_16S_42_S12_L001_R2_001	87.97208983246678	57.0	301.0	301	41.66666666666667	0.110784
NGS001-23_16S_43_S18_L001_R1_001	90.72001656400435	57.0	301.0	301	25.0	0.096595
NGS001-23_16S_43_S18_L001_R2_001	87.70950877374605	57.0	301.0	301	41.66666666666667	0.096595
NGS001-23_16S_44_S24_L001_R1_001	90.13311569526918	58.0	301.0	301	25.0	0.106599
NGS001-23_16S_44_S24_L001_R2_001	87.19687801949361	57.0	301.0	301	41.66666666666667	0.106599
NGS001-23_16S_45_S30_L001_R1_001	89.99114420487611	58.0	301.0	301	33.33333333333333	0.110662
NGS001-23_16S_45_S30_L001_R2_001	87.46633894200357	57.0	301.0	301	33.33333333333333	0.110662
NGS001-23_16S_46_S36_L001_R1_001	89.88107422114872	58.0	301.0	301	41.66666666666667	0.09770799999999999
NGS001-23_16S_46_S36_L001_R2_001	87.90580095795636	57.0	301.0	301	41.66666666666667	0.09770799999999999
NGS001-23_16S_47_S42_L001_R1_001	90.44169414903472	58.0	301.0	301	33.33333333333333	0.10794799999999999
NGS001-23_16S_47_S42_L001_R2_001	87.91269870678475	57.0	301.0	301	50.0	0.10794799999999999
NGS001-23_16S_48_S48_L001_R1_001	90.83204356014694	57.0	301.0	301	25.0	0.10725399999999999
NGS001-23_16S_48_S48_L001_R2_001	87.67318701400414	56.0	301.0	301	50.0	0.10725399999999999
NGS069-23_16S_29_S42_L001_R1_001	86.16047121714597	58.0	301.0	301	33.33333333333333	0.040406
NGS069-23_16S_29_S42_L001_R2_001	78.94372122952038	58.0	301.0	301	41.66666666666667	0.040406
NGS069-23_16S_30_S50_L001_R1_001	85.88670196822859	58.0	301.0	301	33.33333333333333	0.050045
NGS069-23_16S_30_S50_L001_R2_001	84.08632230992107	57.0	301.0	301	50.0	0.050045
NGS069-23_16S_31_S59_L001_R1_001	87.34867373606897	58.0	301.0	301	33.33333333333333	0.066578
NGS069-23_16S_31_S59_L001_R2_001	85.48469464387635	57.0	301.0	301	50.0	0.066578
NGS069-23_16S_32_S68_L001_R1_001	87.32811846604187	58.0	301.0	301	25.0	0.08130599999999999
NGS069-23_16S_32_S68_L001_R2_001	85.28767864610238	57.0	301.0	301	50.0	0.08130599999999999
NGS069-23_16S_33_S5_L001_R1_001	88.90236929813553	57.0	301.0	301	33.33333333333333	0.071709
NGS069-23_16S_33_S5_L001_R2_001	88.06007614107016	56.0	301.0	301	50.0	0.071709
NGS069-23_16S_34_S14_L001_R1_001	89.85179770053831	56.0	301.0	301	41.66666666666667	0.075235
NGS069-23_16S_34_S14_L001_R2_001	88.81105868279391	55.0	301.0	301	41.66666666666667	0.075235
NGS069-23_16S_35_S23_L001_R1_001	90.82778380052656	58.0	301.0	301	33.33333333333333	0.077484
NGS069-23_16S_35_S23_L001_R2_001	89.30488875122606	57.0	301.0	301	50.0	0.077484
NGS069-23_16S_36_S32_L001_R1_001	91.13515002542803	57.0	301.0	301	25.0	0.094384
NGS069-23_16S_36_S32_L001_R2_001	89.7514409221902	56.0	301.0	301	50.0	0.094384
