Module	Section	Sample Name	Source
FastQC	all_sections	NGS001-23_16S_41_S6_L001_R1_001	/workspace/GenoScribe/2-pipelines/3-metagenomic/work/27/36be3c8eccf93bbec97e06f50e73cd/Pre_fastqc_results/NGS001-23_16S_41_S6_L001_R1_001_fastqc.zip
FastQC	all_sections	NGS001-23_16S_41_S6_L001_R2_001	/workspace/GenoScribe/2-pipelines/3-metagenomic/work/27/36be3c8eccf93bbec97e06f50e73cd/Pre_fastqc_results/NGS001-23_16S_41_S6_L001_R2_001_fastqc.zip
FastQC	all_sections	NGS001-23_16S_42_S12_L001_R1_001	/workspace/GenoScribe/2-pipelines/3-metagenomic/work/27/36be3c8eccf93bbec97e06f50e73cd/Pre_fastqc_results/NGS001-23_16S_42_S12_L001_R1_001_fastqc.zip
FastQC	all_sections	NGS001-23_16S_42_S12_L001_R2_001	/workspace/GenoScribe/2-pipelines/3-metagenomic/work/27/36be3c8eccf93bbec97e06f50e73cd/Pre_fastqc_results/NGS001-23_16S_42_S12_L001_R2_001_fastqc.zip
FastQC	all_sections	NGS001-23_16S_43_S18_L001_R1_001	/workspace/GenoScribe/2-pipelines/3-metagenomic/work/27/36be3c8eccf93bbec97e06f50e73cd/Pre_fastqc_results/NGS001-23_16S_43_S18_L001_R1_001_fastqc.zip
FastQC	all_sections	NGS001-23_16S_43_S18_L001_R2_001	/workspace/GenoScribe/2-pipelines/3-metagenomic/work/27/36be3c8eccf93bbec97e06f50e73cd/Pre_fastqc_results/NGS001-23_16S_43_S18_L001_R2_001_fastqc.zip
FastQC	all_sections	NGS001-23_16S_44_S24_L001_R1_001	/workspace/GenoScribe/2-pipelines/3-metagenomic/work/27/36be3c8eccf93bbec97e06f50e73cd/Pre_fastqc_results/NGS001-23_16S_44_S24_L001_R1_001_fastqc.zip
FastQC	all_sections	NGS001-23_16S_44_S24_L001_R2_001	/workspace/GenoScribe/2-pipelines/3-metagenomic/work/27/36be3c8eccf93bbec97e06f50e73cd/Pre_fastqc_results/NGS001-23_16S_44_S24_L001_R2_001_fastqc.zip
FastQC	all_sections	NGS001-23_16S_45_S30_L001_R1_001	/workspace/GenoScribe/2-pipelines/3-metagenomic/work/27/36be3c8eccf93bbec97e06f50e73cd/Pre_fastqc_results/NGS001-23_16S_45_S30_L001_R1_001_fastqc.zip
FastQC	all_sections	NGS001-23_16S_45_S30_L001_R2_001	/workspace/GenoScribe/2-pipelines/3-metagenomic/work/27/36be3c8eccf93bbec97e06f50e73cd/Pre_fastqc_results/NGS001-23_16S_45_S30_L001_R2_001_fastqc.zip
FastQC	all_sections	NGS001-23_16S_46_S36_L001_R1_001	/workspace/GenoScribe/2-pipelines/3-metagenomic/work/27/36be3c8eccf93bbec97e06f50e73cd/Pre_fastqc_results/NGS001-23_16S_46_S36_L001_R1_001_fastqc.zip
FastQC	all_sections	NGS001-23_16S_46_S36_L001_R2_001	/workspace/GenoScribe/2-pipelines/3-metagenomic/work/27/36be3c8eccf93bbec97e06f50e73cd/Pre_fastqc_results/NGS001-23_16S_46_S36_L001_R2_001_fastqc.zip
FastQC	all_sections	NGS001-23_16S_47_S42_L001_R1_001	/workspace/GenoScribe/2-pipelines/3-metagenomic/work/27/36be3c8eccf93bbec97e06f50e73cd/Pre_fastqc_results/NGS001-23_16S_47_S42_L001_R1_001_fastqc.zip
